run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,run 11,run 12,run 13,run 14,run 15,run 16,run 17,run 18,run 19,run 20,run 21,run 22,run 23,run 24,run 25,run 26,run 27,run 28,run 29,run 30,run 31,run 32,run 33,run 34,run 35,run 36,run 37,run 38,run 39,run 40,run 41,run 42,run 43,run 44,run 45,run 46,run 47,run 48,run 49,run 50,run 51,run 52,run 53,run 54,run 55,run 56,run 57,run 58,run 59,run 60,run 61,run 62,run 63,run 64,run 65,run 66,run 67,run 68,run 69,run 70,run 71,run 72,run 73,run 74,run 75,run 76,run 77,run 78,run 79,run 80,run 81,run 82,run 83,run 84,run 85,run 86,run 87,run 88,run 89,run 90,run 91,run 92,run 93,run 94,run 95,run 96,run 97,run 98,run 99,run 100
151953.27,147800.04,149221.4,149300.8,148586.66,151661.47,149745.33,150414.63,148529.64,149540.79,147327.72,146570.24,150135.54,149195.48,151126.29,149456.45,150302.9,152481.9,150453.62,147241.29,152635.2,148693.79,151624.84,151544.77,148584.0,152279.73,148802.84,148385.37,147944.23,151379.97,148090.09,148221.03,147604.44,148746.61,149729.77,150046.48,148340.43,148515.64,151377.77,151795.44,151780.25,150499.58,148663.71,150347.64,149890.61,148401.81,147868.17,149471.43,151780.25,150774.43,150165.91,150033.24,149931.79,146877.45,149266.8,151286.28,150237.82,150359.8,148515.57,147705.91,150732.96,151100.41,151304.41,149797.97,149750.54,151591.67,148085.37,149932.96,149529.09,149691.01,148576.95,148030.49,152833.76,151383.94,148853.34,148502.71,151780.85,149412.16,149190.45,150062.39,150471.81,150438.94,148902.09,151815.93,149132.66,149160.01,149054.18,150727.43,148567.04,151289.92,148735.04,149012.2,149563.1,148512.11,148730.49,150621.01,151717.09,149529.26,151185.97,148743.5
10.3933,10.3856,10.3818,10.426,10.3438,10.4456,10.3878,10.3114,10.3109,10.4091,10.3202,10.295,10.3643,10.3461,10.406,10.3653,10.3558,10.3454,10.4095,10.3777,10.3915,10.33,10.3932,10.3714,10.3556,10.4075,10.3855,10.3992,10.3121,10.4477,10.3697,10.3196,10.3619,10.3356,10.4315,10.3537,10.3585,10.3585,10.4168,10.4129,10.4187,10.3965,10.3861,10.3571,10.3545,10.3288,10.3229,10.364,10.4187,10.4023,10.4152,10.3776,10.4151,10.342,10.3819,10.4536,10.3928,10.4158,10.2639,10.3713,10.3866,10.3732,10.4565,10.3898,10.3422,10.3368,10.3735,10.391,10.4082,10.4037,10.3498,10.3308,10.4919,10.4039,10.307,10.3574,10.3697,10.2935,10.3588,10.3118,10.3192,10.3504,10.4204,10.3583,10.2877,10.3516,10.3154,10.3568,10.3293,10.3543,10.3549,10.3347,10.392,10.3664,10.3318,10.4162,10.4408,10.3414,10.3525,10.3657
150771.5,149801.3,150129.18,152861.11,150696.53,152004.18,152298.79,149717.09,151339.1,149611.62,149186.89,151982.73,152057.44,153233.18,152785.99,152076.52,152589.57,151484.99,151142.39,149846.4,153420.63,149635.9,150387.05,151893.6,149806.69,152209.68,146820.7,149379.78,149810.83,150978.59,150500.84,149754.99,149513.06,151081.33,150339.97,151249.53,150082.14,151074.02,152662.74,153279.29,152923.88,150485.31,150657.27,151889.92,148991.72,150081.48,149496.63,152025.52,152923.88,150252.98,150576.28,152127.63,152123.79,148674.56,149955.42,151890.27,151328.88,152140.58,150405.55,149583.95,151547.39,150928.44,151756.2,149901.36,150933.56,152663.0,150831.47,151587.45,152125.73,150864.44,150621.43,150633.0,153177.33,151567.38,149941.17,148373.05,152430.84,151028.62,149663.95,150383.85,151460.75,150054.54,148833.37,151146.9,151011.64,152001.19,150233.76,151445.48,150157.8,152468.3,150195.15,149934.9,150052.67,150643.24,150106.91,150954.02,153202.45,149719.08,153166.98,150719.84
10.7412,10.7458,10.7742,10.8411,10.7403,10.8025,10.7558,10.7143,10.7073,10.7392,10.7481,10.7263,10.7557,10.7832,10.8214,10.7115,10.7714,10.7021,10.819,10.7476,10.7597,10.7392,10.7084,10.7828,10.7112,10.8124,10.6874,10.7757,10.7247,10.7821,10.7247,10.7595,10.7376,10.7619,10.7854,10.7739,10.7831,10.7994,10.7792,10.809,10.8056,10.7328,10.7884,10.772,10.6738,10.7721,10.7364,10.7779,10.8056,10.6781,10.8112,10.783,10.7868,10.7153,10.7663,10.7976,10.7906,10.7893,10.6508,10.7223,10.7307,10.7373,10.8287,10.7874,10.7408,10.7551,10.7625,10.8163,10.8099,10.7835,10.7121,10.7728,10.8299,10.7767,10.751,10.7107,10.7176,10.7333,10.7112,10.7255,10.7069,10.7516,10.7565,10.7358,10.7108,10.7888,10.7392,10.7481,10.7688,10.7379,10.7147,10.7623,10.6942,10.7326,10.7092,10.7534,10.8211,10.7186,10.7688,10.7345
-1181.77,2001.26,907.77,3560.32,2109.87,342.71,2553.46,-697.55,2809.46,70.83,1859.17,5412.49,1921.89,4037.7,1659.7,2620.06,2286.67,-996.91,688.77,2605.11,785.43,942.11,-1237.8,348.84,1222.69,-70.05,-1982.14,994.41,1866.6,-401.38,2410.75,1533.95,1908.62,2334.72,610.2,1203.06,1741.71,2558.39,1284.97,1483.85,1143.63,-14.27,1993.56,1542.28,-898.89,1679.67,1628.46,2554.1,1143.63,-521.45,410.37,2094.39,2192.0,1797.11,688.61,603.99,1091.05,1780.78,1889.99,1878.04,814.43,-171.97,451.79,103.39,1183.03,1071.33,2746.1,1654.48,2596.64,1173.43,2044.47,2602.51,343.57,183.44,1087.83,-129.66,649.99,1616.45,473.5,321.46,988.94,-384.4,-68.72,-669.03,1878.97,2841.17,1179.58,718.05,1590.75,1178.37,1460.11,922.7,489.57,2131.14,1376.42,333.01,1485.36,189.82,1981.02,1976.34
0.3479,0.3602,0.3923,0.4151,0.3965,0.3569,0.3679,0.4029,0.3965,0.3301,0.4279,0.4313,0.3914,0.4371,0.4154,0.3461,0.4157,0.3567,0.4095,0.37,0.3682,0.4092,0.3152,0.4114,0.3556,0.4049,0.302,0.3765,0.4126,0.3343,0.355,0.4399,0.3758,0.4263,0.3539,0.4202,0.4246,0.4409,0.3624,0.3962,0.3869,0.3363,0.4023,0.4149,0.3193,0.4433,0.4135,0.4139,0.3869,0.2757,0.3961,0.4055,0.3717,0.3733,0.3844,0.344,0.3977,0.3736,0.3869,0.351,0.3441,0.3641,0.3722,0.3976,0.3985,0.4183,0.389,0.4253,0.4017,0.3798,0.3623,0.442,0.3379,0.3728,0.444,0.3533,0.3479,0.4398,0.3524,0.4137,0.3878,0.4012,0.3361,0.3775,0.4231,0.4372,0.4238,0.3913,0.4395,0.3836,0.3599,0.4276,0.3022,0.3662,0.3774,0.3372,0.3803,0.3772,0.4164,0.3688
-3396.87,5555.97,2313.97,8577.02,5321.24,960.24,6940.64,-1731.32,7085.65,214.57,4344.87,12549.25,4910.3,9237.47,3995.43,7570.24,5500.77,-2794.81,1681.98,7040.84,2133.16,2302.32,-3927.03,847.93,3438.39,-173.01,-6563.38,2641.2,4523.99,-1200.66,6790.85,3487.04,5078.82,5476.71,1724.22,2863.07,4102.0,5802.65,3545.72,3745.2,2955.88,-42.43,4955.41,3717.23,-2815.19,3789.01,3938.23,6170.81,2955.88,-1891.37,1036.03,5164.96,5897.23,4814.12,1791.39,1755.78,2743.4,4766.54,4884.96,5350.54,2366.84,-472.32,1213.84,260.04,2968.71,2561.15,7059.38,3890.15,6464.13,3089.6,5643.03,5888.03,1016.78,492.06,2450.07,-367.0,1868.32,3675.42,1343.64,777.04,2550.13,-958.13,-204.46,-1772.26,4440.96,6498.56,2783.34,1835.04,3619.45,3071.87,4056.99,2157.86,1620.02,5819.61,3647.11,987.57,3905.76,503.23,4757.49,5358.84
20.5195,20.4395,20.4839,20.541,20.3829,20.6533,20.4641,20.2844,20.34,20.4827,20.2938,20.2643,20.3961,20.3897,20.5396,20.4238,20.3965,20.3745,20.554,20.4627,20.5375,20.3117,20.484,20.4662,20.423,20.5477,20.5009,20.4959,20.2741,20.6575,20.4154,20.2933,20.4058,20.3017,20.6099,20.4161,20.4494,20.4109,20.5595,20.582,20.5923,20.5028,20.4747,20.3648,20.42,20.3279,20.3068,20.3727,20.5923,20.4826,20.5243,20.4668,20.5793,20.3026,20.4478,20.6619,20.4536,20.5818,20.1866,20.4883,20.4419,20.4409,20.6925,20.4905,20.4071,20.3651,20.4641,20.4949,20.5349,20.508,20.4355,20.3083,20.7454,20.4965,20.2686,20.3859,20.4478,20.2427,20.3962,20.3131,20.3886,20.3855,20.5848,20.4292,20.2483,20.3861,20.3304,20.4295,20.3373,20.4199,20.4378,20.3481,20.4665,20.4127,20.3401,20.5576,20.636,20.3809,20.3963,20.4092
21.3901,21.3566,21.4433,21.6009,21.3752,21.5549,21.3452,21.268,21.3149,21.3072,21.3968,21.3339,21.3756,21.5008,21.5944,21.2987,21.447,21.252,21.5409,21.38,21.3941,21.3384,21.2573,21.4693,21.3114,21.5454,21.1988,21.4165,21.3409,21.4728,21.3438,21.4214,21.3615,21.4058,21.4936,21.467,21.4941,21.5181,21.4448,21.5469,21.5787,21.3463,21.4798,21.4304,21.1809,21.4718,21.3154,21.4089,21.5787,21.1477,21.5341,21.4736,21.4904,21.253,21.4066,21.4864,21.4718,21.5167,21.1408,21.3161,21.3396,21.3452,21.5806,21.4855,21.3552,21.4265,21.4611,21.5669,21.5425,21.4779,21.3027,21.4696,21.5768,21.4149,21.3774,21.2706,21.3184,21.3282,21.2926,21.3151,21.3006,21.4021,21.4122,21.3413,21.2782,21.4693,21.38,21.3883,21.417,21.3714,21.3233,21.4171,21.2319,21.3288,21.319,21.3972,21.5731,21.3102,21.4492,21.339
0.8706,0.9171,0.9594,1.0599,0.9923,0.9016,0.8811,0.9836,0.9749,0.8245,1.103,1.0696,0.9795,1.1111,1.0548,0.8749,1.0505,0.8775,0.9869,0.9173,0.8566,1.0267,0.7733,1.0031,0.8884,0.9977,0.6979,0.9206,1.0668,0.8153,0.9284,1.1281,0.9557,1.1041,0.8837,1.0509,1.0447,1.1072,0.8853,0.9649,0.9864,0.8435,1.0051,1.0656,0.7609,1.1439,1.0086,1.0362,0.9864,0.6651,1.0098,1.0068,0.9111,0.9504,0.9588,0.8245,1.0182,0.9349,0.9542,0.8278,0.8977,0.9043,0.8881,0.995,0.9481,1.0614,0.997,1.072,1.0076,0.9699,0.8672,1.1613,0.8314,0.9184,1.1088,0.8847,0.8706,1.0855,0.8964,1.002,0.912,1.0166,0.8274,0.9121,1.0299,1.0832,1.0496,0.9588,1.0797,0.9515,0.8855,1.069,0.7654,0.9161,0.9789,0.8396,0.9371,0.9293,1.0529,0.9298
