run,Total cost non-intervention,Treatment costs - non-intervention,Complication costs - non-intervention,Intervention costs - non-intervention,QALY non-intervention,Total cost intervention,Treatment costs - intervention,Complication costs - intervention,Intervention costs - intervention,QALY intervention,Cost increment,QALY increment,ICER,ICER: mean inc Cost / mean inc QALY,Remaining LY non-intervention,Remaining LY intervention,LY increment
0001,151953.27,67311.5,84641.77,0.0,10.3933,150771.5,69311.43,76106.44,5353.62,10.7412,-1181.77,0.3479,-3396.87,,20.5195,21.3901,0.8706
0002,147800.04,67235.36,80564.68,0.0,10.3856,149801.3,69344.52,75103.5,5353.28,10.7458,2001.26,0.3602,5555.97,,20.4395,21.3566,0.9171
0003,149221.4,67210.26,82011.14,0.0,10.3818,150129.18,69485.99,75275.95,5367.23,10.7742,907.77,0.3923,2313.97,,20.4839,21.4433,0.9594
0004,149300.8,67471.16,81829.64,0.0,10.426,152861.11,69917.67,77540.94,5402.5,10.8411,3560.32,0.4151,8577.02,,20.541,21.6009,1.0599
0005,148586.66,67021.21,81565.45,0.0,10.3438,150696.53,69327.53,76015.49,5353.52,10.7403,2109.87,0.3965,5321.24,,20.3829,21.3752,0.9923
0006,151661.47,67655.42,84006.05,0.0,10.4456,152004.18,69712.32,76904.23,5387.64,10.8025,342.71,0.3569,960.24,,20.6533,21.5549,0.9016
0007,149745.33,67275.3,82470.03,0.0,10.3878,152298.79,69426.67,77515.05,5357.07,10.7558,2553.46,0.3679,6940.64,,20.4641,21.3452,0.8811
0008,150414.63,66791.48,83623.15,0.0,10.3114,149717.09,69144.78,75236.38,5335.92,10.7143,-697.55,0.4029,-1731.32,,20.2844,21.268,0.9836
0009,148529.64,66786.92,81742.72,0.0,10.3109,151339.1,69120.53,76880.68,5337.88,10.7073,2809.46,0.3965,7085.65,,20.34,21.3149,0.9749
0010,149540.79,67422.13,82118.66,0.0,10.4091,149611.62,69306.79,74957.03,5347.79,10.7392,70.83,0.3301,214.57,,20.4827,21.3072,0.8245
0011,147327.72,66801.04,80526.68,0.0,10.3202,149186.89,69335.35,74496.02,5355.52,10.7481,1859.17,0.4279,4344.87,,20.2938,21.3968,1.103
0012,146570.24,66699.55,79870.69,0.0,10.295,151982.73,69250.76,77385.4,5346.56,10.7263,5412.49,0.4313,12549.25,,20.2643,21.3339,1.0696
0013,150135.54,67149.22,82986.32,0.0,10.3643,152057.44,69422.36,77276.1,5358.98,10.7557,1921.89,0.3914,4910.3,,20.3961,21.3756,0.9795
0014,149195.48,66999.93,82195.55,0.0,10.3461,153233.18,69599.68,78255.99,5377.51,10.7832,4037.7,0.4371,9237.47,,20.3897,21.5008,1.1111
0015,151126.29,67418.31,83707.97,0.0,10.406,152785.99,69840.53,77547.7,5397.76,10.8214,1659.7,0.4154,3995.43,,20.5396,21.5944,1.0548
