group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
intervention--0013,1,112,18,1,38,217,57,55,75,19,5,47,2,43,15,60,812,63,96,9904
intervention--0013,2,213,32,1,72,389,113,118,145,42,9,105,7,113,24,135,1602,140,217,9783
intervention--0013,3,322,63,3,131,653,181,208,209,68,20,157,10,207,43,229,2512,199,365,9635
intervention--0013,4,435,89,4,184,890,258,283,268,78,30,212,15,300,56,328,3332,283,508,9492
intervention--0013,5,526,123,5,256,1153,332,362,328,100,50,273,20,401,71,430,4127,350,668,9332
intervention--0013,6,640,145,9,309,1383,422,447,386,122,63,313,23,513,89,534,4809,416,855,9145
intervention--0013,7,752,182,14,372,1663,509,525,441,153,81,347,30,659,103,639,5435,483,1045,8955
intervention--0013,8,853,227,20,454,1917,573,613,488,185,102,397,42,792,124,734,5943,559,1245,8755
intervention--0013,9,944,267,22,526,2127,654,687,532,209,130,433,53,920,150,835,6464,635,1442,8558
intervention--0013,10,1062,303,29,597,2353,745,775,589,236,153,487,62,1048,172,918,6872,712,1636,8364
intervention--0013,11,1170,346,30,691,2573,842,859,657,264,187,534,77,1167,192,1013,7205,800,1889,8111
intervention--0013,12,1282,390,32,767,2791,934,937,719,304,215,583,88,1289,215,1113,7523,888,2132,7868
intervention--0013,13,1392,418,38,848,3028,1018,1025,774,335,252,616,102,1421,227,1213,7782,950,2394,7606
intervention--0013,14,1492,464,46,923,3243,1115,1128,830,360,284,663,111,1545,241,1290,8002,1014,2688,7312
intervention--0013,15,1593,518,48,1011,3442,1201,1226,886,394,309,698,131,1655,257,1391,8219,1100,2975,7025
intervention--0013,16,1717,567,55,1105,3630,1294,1323,944,431,337,739,154,1783,275,1478,8387,1161,3262,6738
intervention--0013,17,1811,611,58,1194,3811,1373,1396,995,469,378,784,175,1925,297,1576,8535,1230,3568,6432
intervention--0013,18,1941,659,64,1282,3981,1458,1488,1041,508,422,834,190,2039,316,1670,8678,1308,3894,6106
intervention--0013,19,2050,721,70,1403,4151,1540,1581,1095,541,482,874,199,2150,339,1768,8805,1367,4243,5757
intervention--0013,20,2157,771,73,1496,4296,1607,1661,1145,571,537,906,217,2258,367,1866,8907,1434,4570,5430
intervention--0013,21,2281,819,81,1578,4462,1701,1756,1201,610,583,954,231,2362,403,1942,8982,1517,4910,5090
intervention--0013,22,2370,869,89,1684,4596,1772,1860,1244,643,619,997,251,2453,431,2040,9032,1581,5239,4761
intervention--0013,23,2483,905,98,1810,4718,1857,1951,1292,676,671,1038,270,2576,457,2126,9097,1652,5621,4379
intervention--0013,24,2583,958,104,1917,4849,1943,2054,1343,726,721,1064,284,2680,478,2208,9158,1721,5987,4013
intervention--0013,25,2661,1008,115,2027,4967,2032,2150,1379,757,763,1096,311,2773,505,2293,9203,1783,6349,3651
intervention--0013,26,2759,1055,121,2133,5088,2109,2233,1420,795,828,1137,333,2860,531,2387,9242,1853,6679,3321
intervention--0013,27,2845,1099,127,2236,5209,2188,2321,1475,835,885,1172,353,2958,561,2476,9284,1896,7036,2964
intervention--0013,28,2944,1147,133,2344,5306,2273,2417,1528,868,946,1201,373,3053,592,2555,9312,1953,7374,2626
intervention--0013,29,3043,1200,139,2455,5388,2382,2518,1565,890,995,1231,392,3140,631,2646,9332,2011,7649,2351
intervention--0013,30,3151,1255,147,2566,5492,2464,2612,1610,922,1045,1267,410,3231,658,2740,9354,2083,7934,2066
intervention--0013,31,3255,1307,153,2663,5558,2536,2727,1654,972,1086,1300,425,3331,693,2824,9376,2151,8228,1772
intervention--0013,32,3357,1366,160,2747,5629,2605,2801,1705,1004,1149,1331,439,3410,725,2896,9395,2207,8500,1500
intervention--0013,33,3454,1409,170,2834,5709,2682,2880,1748,1037,1210,1367,462,3481,758,2965,9414,2271,8727,1273
intervention--0013,34,3547,1465,172,2934,5789,2753,2972,1801,1074,1258,1395,485,3553,802,3054,9421,2324,8933,1067
intervention--0013,35,3629,1513,180,3023,5850,2812,3057,1847,1106,1314,1421,509,3624,847,3137,9433,2365,9116,884
intervention--0013,36,3723,1568,188,3134,5908,2883,3152,1898,1143,1365,1459,532,3697,871,3211,9448,2426,9282,718
intervention--0013,37,3810,1615,199,3219,5970,2956,3221,1940,1171,1427,1486,556,3755,902,3287,9457,2476,9438,562
intervention--0013,38,3906,1665,206,3292,6020,3028,3306,1993,1203,1486,1534,580,3812,936,3359,9465,2515,9550,450
intervention--0013,39,3997,1710,210,3351,6060,3085,3389,2026,1238,1537,1555,597,3878,970,3423,9470,2565,10000,0
intervention--0007,1,126,25,0,52,191,48,67,45,20,3,46,2,62,9,90,871,74,116,9884
intervention--0007,2,228,44,1,86,424,106,119,115,44,9,109,3,124,22,171,1665,146,240,9760
intervention--0007,3,350,74,4,131,662,176,187,174,70,14,151,12,218,42,270,2582,223,361,9639
intervention--0007,4,476,112,6,178,894,231,265,227,102,26,192,18,321,52,376,3389,298,499,9501
intervention--0007,5,586,151,6,232,1153,292,345,278,131,41,234,29,426,67,478,4088,376,655,9345
intervention--0007,6,695,182,8,283,1382,370,410,336,157,51,287,31,529,87,592,4725,444,798,9202
intervention--0007,7,815,222,12,345,1610,444,492,383,189,71,333,44,642,103,681,5324,508,977,9023
intervention--0007,8,907,252,15,415,1867,526,575,437,218,93,381,56,754,118,792,5878,587,1165,8835
intervention--0007,9,1021,294,17,498,2091,611,652,487,249,119,435,67,895,139,888,6349,646,1393,8607
intervention--0007,10,1133,329,19,571,2325,701,740,550,285,147,484,77,1000,149,982,6756,714,1610,8390
intervention--0007,11,1255,371,21,665,2561,785,817,605,313,179,522,86,1118,165,1069,7118,797,1871,8129
intervention--0007,12,1381,424,27,740,2763,887,903,662,347,206,563,100,1247,176,1151,7443,887,2110,7890
intervention--0007,13,1485,482,28,837,2976,972,992,708,387,244,611,112,1358,196,1248,7729,991,2379,7621
intervention--0007,14,1593,534,32,902,3175,1063,1092,758,418,283,656,120,1485,218,1370,7972,1056,2660,7340
intervention--0007,15,1715,573,34,993,3372,1134,1195,805,457,325,707,134,1608,249,1475,8181,1137,2954,7046
intervention--0007,16,1821,619,38,1105,3567,1221,1289,856,489,369,756,156,1753,282,1563,8364,1213,3261,6739
intervention--0007,17,1924,668,44,1205,3747,1291,1383,901,522,410,802,169,1876,299,1664,8512,1293,3568,6432
intervention--0007,18,2046,715,52,1292,3931,1376,1470,946,552,453,851,181,2016,319,1757,8650,1381,3921,6079
intervention--0007,19,2149,769,59,1388,4087,1475,1576,995,584,507,892,194,2131,344,1868,8752,1452,4263,5737
intervention--0007,20,2248,821,63,1488,4255,1564,1684,1037,611,552,942,208,2255,373,1970,8845,1528,4612,5388
intervention--0007,21,2351,884,69,1594,4383,1653,1774,1084,645,597,986,230,2349,403,2077,8944,1598,4960,5040
intervention--0007,22,2451,947,77,1689,4528,1732,1884,1138,679,645,1038,248,2473,435,2185,9031,1653,5319,4681
intervention--0007,23,2562,997,84,1811,4654,1816,1981,1178,714,694,1076,263,2578,468,2279,9086,1733,5668,4332
intervention--0007,24,2660,1043,90,1913,4787,1888,2078,1225,747,743,1122,288,2680,488,2380,9149,1805,6055,3945
intervention--0007,25,2771,1089,95,2029,4937,1956,2163,1269,792,801,1170,315,2778,516,2474,9200,1877,6388,3612
intervention--0007,26,2887,1127,103,2135,5067,2046,2265,1340,825,853,1211,337,2868,542,2560,9237,1949,6761,3239
intervention--0007,27,2985,1170,109,2233,5178,2138,2363,1390,861,903,1238,352,2949,570,2656,9273,2025,7113,2887
intervention--0007,28,3091,1213,115,2324,5279,2236,2467,1437,902,954,1283,363,3047,599,2750,9304,2073,7422,2578
intervention--0007,29,3184,1266,120,2437,5368,2318,2544,1479,928,1007,1327,380,3125,637,2841,9325,2131,7703,2297
intervention--0007,30,3268,1320,130,2504,5463,2382,2643,1530,960,1062,1359,401,3216,665,2919,9346,2193,7992,2008
intervention--0007,31,3387,1353,137,2598,5529,2463,2731,1578,987,1125,1393,428,3306,706,3024,9366,2236,8251,1749
intervention--0007,32,3469,1399,142,2689,5616,2532,2814,1634,1015,1176,1432,458,3380,735,3118,9394,2285,8491,1509
intervention--0007,33,3556,1438,150,2795,5690,2602,2890,1679,1048,1225,1467,473,3477,783,3206,9404,2343,8720,1280
intervention--0007,34,3638,1475,155,2887,5758,2681,2970,1728,1079,1280,1498,496,3560,820,3275,9417,2398,8935,1065
intervention--0007,35,3737,1521,165,2981,5815,2754,3046,1772,1109,1332,1530,514,3628,861,3353,9428,2444,9132,868
intervention--0007,36,3817,1568,173,3060,5864,2814,3111,1813,1136,1399,1560,534,3702,906,3433,9437,2485,9293,707
intervention--0007,37,3896,1614,182,3133,5910,2886,3178,1859,1175,1440,1586,548,3764,941,3519,9443,2538,9412,588
intervention--0007,38,3984,1654,190,3209,5957,2952,3248,1902,1202,1495,1614,568,3824,973,3594,9450,2585,9520,480
intervention--0007,39,4063,1699,199,3286,6004,3012,3326,1960,1235,1552,1641,586,3867,1011,3673,9453,2635,10000,0
non-intervention--0087,1,146,27,5,42,315,64,70,83,22,5,60,6,63,9,98,986,99,172,9828
non-intervention--0087,2,302,65,7,101,627,123,144,161,40,15,129,7,122,15,202,1906,192,314,9686
non-intervention--0087,3,459,98,16,182,1014,208,233,244,67,22,181,12,215,32,326,2912,306,477,9523
non-intervention--0087,4,627,134,21,252,1382,281,321,317,101,32,239,19,311,53,442,3783,415,657,9343
non-intervention--0087,5,762,165,27,338,1741,360,407,387,139,46,311,32,455,72,563,4585,521,867,9133
non-intervention--0087,6,877,203,31,429,2083,424,504,458,174,63,358,43,587,92,689,5263,630,1086,8914
non-intervention--0087,7,1008,253,41,531,2389,510,605,525,199,90,413,49,711,107,803,5805,716,1276,8724
non-intervention--0087,8,1122,292,47,625,2655,590,712,586,238,107,476,54,814,131,938,6357,796,1510,8490
non-intervention--0087,9,1254,330,56,730,2933,702,824,648,276,133,551,62,935,156,1059,6806,884,1730,8270
non-intervention--0087,10,1378,366,61,828,3188,785,920,708,302,161,600,74,1059,170,1182,7196,978,1977,8023
non-intervention--0087,11,1497,396,67,941,3428,883,1024,753,330,193,644,88,1183,187,1312,7526,1053,2256,7744
non-intervention--0087,12,1623,439,71,1052,3649,954,1146,816,356,232,693,102,1317,205,1424,7796,1141,2531,7469
non-intervention--0087,13,1732,483,78,1181,3868,1042,1239,879,391,262,748,112,1448,229,1534,8045,1220,2827,7173
non-intervention--0087,14,1839,532,85,1308,4059,1132,1341,948,425,297,788,128,1579,244,1651,8232,1313,3107,6893
non-intervention--0087,15,1965,582,92,1413,4232,1232,1443,1012,455,335,830,146,1704,265,1771,8393,1390,3424,6576
non-intervention--0087,16,2089,632,101,1526,4399,1337,1537,1064,493,386,890,169,1836,289,1865,8549,1464,3744,6256
non-intervention--0087,17,2187,677,107,1660,4575,1434,1624,1118,537,433,928,186,1976,316,1972,8671,1536,4045,5955
non-intervention--0087,18,2304,739,116,1786,4732,1513,1716,1183,576,470,974,202,2097,336,2086,8778,1619,4335,5665
non-intervention--0087,19,2406,795,119,1905,4858,1609,1808,1241,622,518,1009,218,2225,361,2203,8873,1691,4656,5344
non-intervention--0087,20,2520,848,125,2043,5003,1706,1908,1294,662,558,1051,235,2349,387,2301,8946,1769,5000,5000
non-intervention--0087,21,2621,904,133,2178,5123,1793,2000,1355,694,613,1099,262,2471,411,2411,9003,1844,5355,4645
non-intervention--0087,22,2733,953,142,2269,5225,1881,2101,1408,730,666,1137,284,2572,440,2518,9061,1921,5710,4290
non-intervention--0087,23,2836,999,145,2387,5318,1957,2189,1462,762,718,1181,312,2675,474,2613,9113,1983,6028,3972
non-intervention--0087,24,2946,1054,152,2515,5421,2044,2285,1520,787,772,1219,333,2777,504,2707,9163,2049,6342,3658
non-intervention--0087,25,3055,1119,159,2628,5527,2145,2376,1565,820,814,1253,355,2888,539,2787,9202,2103,6670,3330
non-intervention--0087,26,3168,1169,170,2742,5628,2228,2464,1619,854,882,1304,372,2976,572,2877,9246,2171,6970,3030
non-intervention--0087,27,3265,1201,174,2863,5711,2310,2590,1672,896,939,1333,395,3087,608,2966,9267,2228,7281,2719
non-intervention--0087,28,3370,1252,180,2970,5781,2381,2679,1725,938,992,1378,418,3181,639,3057,9279,2279,7588,2412
non-intervention--0087,29,3459,1306,190,3072,5848,2447,2765,1779,978,1042,1415,439,3261,672,3134,9302,2332,7877,2123
non-intervention--0087,30,3555,1339,199,3194,5920,2523,2838,1831,1015,1105,1443,463,3344,716,3226,9323,2391,8157,1843
non-intervention--0087,31,3650,1397,207,3301,5990,2589,2951,1885,1053,1153,1484,481,3415,756,3309,9338,2445,8415,1585
non-intervention--0087,32,3738,1445,217,3382,6036,2665,3041,1933,1084,1212,1513,503,3486,788,3390,9346,2520,8654,1346
non-intervention--0087,33,3826,1490,226,3485,6087,2738,3112,1977,1116,1265,1539,521,3557,823,3475,9359,2564,8877,1123
non-intervention--0087,34,3911,1536,233,3567,6146,2807,3200,2033,1142,1324,1569,543,3620,856,3559,9366,2620,9081,919
non-intervention--0087,35,4006,1577,243,3656,6206,2885,3288,2078,1176,1373,1594,567,3675,893,3633,9371,2680,9241,759
non-intervention--0087,36,4095,1631,254,3742,6249,2952,3371,2141,1209,1436,1612,593,3733,924,3693,9379,2724,9379,621
non-intervention--0087,37,4201,1669,261,3820,6290,3004,3453,2187,1242,1492,1638,609,3781,972,3772,9385,2784,9489,511
non-intervention--0087,38,4267,1714,270,3894,6321,3063,3521,2225,1270,1537,1674,630,3841,1003,3838,9388,2835,9591,409
non-intervention--0087,39,4368,1755,277,3975,6359,3116,3585,2268,1304,1606,1699,651,3889,1039,3917,9393,2878,10000,0
non-intervention--0093,1,146,27,2,67,308,49,90,86,33,5,59,2,72,12,109,1015,114,143,9857
non-intervention--0093,2,307,51,5,120,629,119,160,153,54,9,127,8,130,18,210,1919,214,286,9714
non-intervention--0093,3,439,86,9,203,992,182,240,233,84,25,180,12,240,33,347,2846,333,480,9520
non-intervention--0093,4,566,118,14,269,1332,277,326,312,121,35,231,16,340,43,475,3691,433,650,9350
non-intervention--0093,5,708,151,21,374,1690,368,403,386,158,60,288,25,448,63,608,4491,523,844,9156
non-intervention--0093,6,852,186,29,466,1961,439,488,453,198,83,348,28,573,77,724,5144,614,1022,8978
non-intervention--0093,7,981,227,34,561,2264,539,577,537,236,108,391,40,696,93,825,5794,684,1233,8767
non-intervention--0093,8,1110,263,36,668,2524,638,688,603,267,128,438,48,808,106,927,6292,773,1415,8585
non-intervention--0093,9,1256,306,41,759,2791,721,789,664,301,154,495,63,953,121,1015,6732,856,1655,8345
non-intervention--0093,10,1402,345,46,867,3048,815,896,719,329,191,538,79,1096,136,1133,7123,946,1877,8123
