run,year,cumulative cost_non_intervention_by_person,cumulative cost_intervention_by_person,cumulative cost_increment_by_person,cumulative qaly_non_intervention_by_person,cumulative qaly_intervention_by_person,cumulative qaly_increment_by_person,icer
0001,1,6697.8049,6716.0574,18.2525,0.79197692,0.7924194999999999,0.0004425799999999981,41241.13
0001,2,13466.3796,13492.3304,25.9508,1.5375236300000001,1.54186173,0.00433809999999994,5982.07
0001,3,20476.2511,20423.2635,-52.9876,2.2472917900000002,2.2573274000000003,0.010035609999999725,-5279.96
0001,4,27433.6817,27242.1487,-191.533,2.91419395,2.93115358,0.016959629999999743,-11293.47
0001,5,34302.9068,34064.6746,-238.2322,3.53924929,3.5649257599999995,0.025676469999999972,-9278.23
0001,6,41197.2694,40821.9582,-375.3112,4.1314232,4.1667267599999995,0.03530356000000029,-10630.97
0001,7,47957.2473,47441.9314,-515.3159,4.68270812,4.7280042,0.0452960800000008,-11376.61
0001,8,54672.5305,54063.9377,-608.5928,5.20118095,5.25779108,0.05661013000000021,-10750.6
0001,9,61296.7765,60482.9543,-813.8222,5.68884333,5.7562649100000005,0.06742157999999981,-12070.65
0001,10,67683.2304,66707.8193,-975.4111,6.13956563,6.21895739,0.07939176000000006,-12286.05
0001,11,73955.5869,72812.5558,-1143.0311,6.56065806,6.65187372,0.09121566000000021,-12531.08
0001,12,79981.1413,78732.7478,-1248.3935,6.9521625799999995,7.05746873,0.10530615000000107,-11854.9
0001,13,85924.4278,84579.2635,-1345.1643,7.315883100000001,7.43701217,0.12112907000000123,-11105.21
0001,14,91627.8161,90142.585,-1485.2311,7.6521791100000005,7.78874571,0.1365666000000012,-10875.51
0001,15,97179.7645,95597.8606,-1581.9039,7.96238548,8.113727860000001,0.15134238000000186,-10452.48
0001,16,102467.9439,100744.9136,-1723.0303,8.246982730000001,8.41227636,0.16529363000000158,-10424.06
0001,17,107523.9598,105748.7837,-1775.1761,8.509948,8.690182550000001,0.18023455000000105,-9849.26
0001,18,112292.2896,110409.232,-1883.0576,8.74796407,8.94339381,0.19542974000000105,-9635.47
0001,19,116801.0758,114796.7066,-2004.3692,8.962625410000001,9.17180911,0.20918370000000142,-9581.86
0001,20,121007.4916,118889.4902,-2118.0014,9.15578847,9.37771054,0.22192207000000053,-9543.9
0001,21,124892.8861,122779.0307,-2113.8554,9.33132381,9.56530441,0.23398060000000115,-9034.32
0001,22,128436.407,126302.6239,-2133.7831,9.48745027,9.73236191,0.24491164000000135,-8712.46
0001,23,131707.9866,129593.3029,-2114.6837,9.62679005,9.88405394,0.25726389000000055,-8219.9
0001,24,134658.1512,132576.7056,-2081.4456,9.749876760000001,10.017780499999999,0.2679037400000001,-7769.38
0001,25,137394.2101,135305.6983,-2088.5118,9.859445209999999,10.13605405,0.2766088399999993,-7550.42
0001,26,139759.9631,137675.3033,-2084.6598,9.95300901,10.238266280000001,0.28525726999999895,-7308.0
0001,27,141885.2803,139836.4501,-2048.8302,10.034473669999999,10.32766182,0.29318814999999887,-6988.11
0001,28,143764.8301,141735.4182,-2029.4119,10.10523862,10.4054934,0.30025477999999856,-6758.97
0001,29,145379.0477,143460.9798,-1918.0679,10.16355125,10.47090709,0.307355839999998,-6240.54
0001,30,146785.7102,144928.8758,-1856.8344,10.21252542,10.52692235,0.31439692999999824,-5906.02
0001,31,147966.9054,146218.0209,-1748.8845,10.2534453,10.57437906,0.32093375999999846,-5449.36
0001,32,148931.7775,147264.5052,-1667.2723,10.28738605,10.61377208,0.32638602999999855,-5108.28
0001,33,149742.7795,148138.8547,-1603.9248,10.31506477,10.64665496,0.33159018999999823,-4837.07
0001,34,150342.7205,148831.6224,-1511.0981,10.33682231,10.67280256,0.3359802499999976,-4497.58
0001,35,150837.2709,149398.7125,-1438.5584,10.35452842,10.69341827,0.33888984999999666,-4244.91
0001,36,151225.4152,149854.8248,-1370.5904,10.36829022,10.71011659,0.34182636999999666,-4009.61
0001,37,151527.8128,150232.2523,-1295.5605,10.37874768,10.72298947,0.34424178999999566,-3763.52
0001,38,151765.9204,150528.728,-1237.1924,10.38713581,10.73319341,0.34605759999999575,-3575.11
0001,39,151942.9436,150761.5595,-1181.3841,10.39330403,10.74120628,0.34790224999999625,-3395.74
0002,1,6831.5469,6837.1904,5.6435,0.79212063,0.79248645,0.00036581999999998514,15426.99
0002,2,13580.4804,13567.3258,-13.1546,1.53880112,1.54188985,0.0030887299999998504,-4258.9
0002,3,20584.4679,20569.9902,-14.4777,2.24775145,2.25643875,0.008687299999999596,-1666.54
0002,4,27505.9892,27446.1003,-59.8889,2.91337594,2.9300458600000003,0.016669919999999547,-3592.63
0002,5,34335.8953,34274.1061,-61.7892,3.5376490899999995,3.5637875599999997,0.026138469999999508,-2363.92
0002,6,41260.4756,41114.2445,-146.2311,4.13067625,4.16576034,0.03508408999999956,-4168.02
0002,7,48087.3513,47830.1987,-257.1526,4.68437793,4.72997249,0.04559455999999991,-5639.98
0002,8,54740.5225,54379.4843,-361.0382,5.2067252,5.26314326,0.05641805999999997,-6399.34
0002,9,61336.86,60844.8017,-492.0583,5.697408449999999,5.76579409,0.06838564000000043,-7195.35
0002,10,67695.0494,67072.9313,-622.1181,6.15059241,6.23148747,0.08089506000000038,-7690.43
0002,11,73871.2004,73164.0343,-707.1661,6.57353262,6.66856676,0.09503414000000047,-7441.18
0002,12,79932.7974,79131.9077,-800.8897,6.96730374,7.07708417,0.10978043000000035,-7295.38
0002,13,85705.4491,84840.3627,-865.0864,7.332651660000001,7.4565177899999995,0.1238661300000007,-6984.04
0002,14,91207.5907,90346.301,-861.2897,7.66875147,7.8092595000000005,0.1405080300000016,-6129.83
0002,15,96411.1702,95580.8623,-830.3079,7.978157460000001,8.13471627,0.15655881000000227,-5303.49
0002,16,101436.1873,100588.5796,-847.6077,8.261587200000001,8.43415693,0.1725697300000029,-4911.68
0002,17,106320.9985,105511.7306,-809.2679,8.52500475,8.713595380000001,0.18859063000000315,-4291.14
0002,18,110866.3629,110129.3342,-737.0287,8.763914269999999,8.96877899,0.20486472000000358,-3597.64
0002,19,115101.1846,114504.7413,-596.4433,8.98039133,9.19920001,0.21880868000000336,-2725.87
0002,20,118972.3477,118535.2449,-437.1028,9.17460919,9.4056891,0.2310799100000033,-1891.57
0002,21,122621.8165,122286.2028,-335.6137,9.34953165,9.59295374,0.24342209000000295,-1378.73
0002,22,125928.4441,125751.7302,-176.7139,9.503528470000001,9.759598780000001,0.2560703100000028,-690.1
0002,23,128987.6273,129024.8188,37.1915,9.64186982,9.90985172,0.2679819000000032,138.78
0002,24,131747.9097,131962.3956,214.4859,9.763219490000001,10.04128918,0.2780696900000024,771.34
0002,25,134220.8062,134625.8797,405.0735,9.87014057,10.157300470000001,0.28715990000000313,1410.62
0002,26,136382.0025,136971.2143,589.2118,9.961317840000001,10.2572247,0.29590686000000277,1991.21
0002,27,138324.506,139099.1062,774.6002,10.03971071,10.34392714,0.30421643000000187,2546.21
0002,28,140061.5733,140974.155,912.5817,10.10733842,10.41926342,0.31192500000000145,2925.64
0002,29,141537.2042,142581.9215,1044.7173,10.16369339,10.48332124,0.3196278500000015,3268.54
0002,30,142802.2323,143991.8492,1189.6169,10.21143064,10.5378847,0.3264540600000022,3644.06
0002,31,143888.7774,145184.2573,1295.4799,10.250964320000001,10.583382180000001,0.3324178600000014,3897.14
0002,32,144809.6117,146236.8682,1427.2565,10.283588159999999,10.62159548,0.33800732000000133,4222.56
0002,33,145553.0456,147126.993,1573.9474,10.310008779999999,10.653295940000001,0.3432871600000013,4584.93
0002,34,146163.7587,147855.8348,1692.0761,10.33142983,10.67863137,0.34720154000000186,4873.47
0002,35,146669.2843,148424.0411,1754.7568,10.34880833,10.699045389999998,0.35023706000000093,5010.2
0002,36,147082.3385,148892.5283,1810.1898,10.36219997,10.71527488,0.3530749100000001,5126.93
0002,37,147381.3259,149258.3829,1877.057,10.37202542,10.72779061,0.3557651900000012,5276.11
0002,38,147615.7242,149550.3907,1934.6665,10.37975704,10.73791149,0.35815445000000035,5401.77
0002,39,147789.7469,149791.358,2001.6111,10.38560057,10.745822319999998,0.36022175000000134,5556.61
0003,1,6784.0182,6826.9258,42.9076,0.79228359,0.79262676,0.00034317000000000917,125033.07
0003,2,13566.8152,13569.675,2.8598,1.5381708,1.5420312299999999,0.0038604300000002695,740.8
0003,3,20595.8798,20533.362,-62.5178,2.24637083,2.25661074,0.010239910000000236,-6105.31
0003,4,27445.2679,27294.1048,-151.1631,2.91274994,2.93077917,0.018029230000000097,-8384.33
0003,5,34333.4248,34071.5453,-261.8795,3.53777383,3.5650139499999995,0.027240120000000752,-9613.74
0003,6,41065.4721,40711.4547,-354.0174,4.12825529,4.16682463,0.038569340000001104,-9178.73
0003,7,47782.4655,47312.6692,-469.7963,4.67801182,4.73031621,0.05230439000000115,-8981.97
0003,8,54394.9273,53803.2435,-591.6838,5.19492057,5.26356276,0.06864219000000085,-8619.83
0003,9,60888.5699,60211.5147,-677.0552,5.68021826,5.76612928,0.085911020000001,-7880.89
0003,10,67068.8346,66318.164,-750.6706,6.130709410000001,6.23219686,0.10148745000000053,-7396.68
0003,11,73303.2328,72419.6395,-883.5933,6.55286115,6.669155310000001,0.11629416000000056,-7597.92
0003,12,79355.7971,78360.398,-995.3991,6.9458256800000004,7.07664399,0.13081830999999947,-7609.02
0003,13,85180.956,84152.4818,-1028.4742,7.31155818,7.4573426099999995,0.14578442999999972,-7054.76
0003,14,90768.728,89691.3108,-1077.4172,7.65002818,7.810980409999999,0.1609522299999997,-6694.02
0003,15,96151.1739,95079.7056,-1071.4683,7.9612998600000005,8.13774194,0.17644208000000072,-6072.63
0003,16,101281.6668,100178.1713,-1103.4955,8.24632758,8.43868189,0.192354310000001,-5736.79
0003,17,106205.4276,105067.962,-1137.4656,8.50967651,8.71796503,0.20828852000000042,-5461.01
0003,18,110793.0209,109745.5467,-1047.4742,8.74809415,8.972408190000001,0.22431404000000038,-4669.68
0003,19,115107.1964,114152.0971,-955.0993,8.9634544,9.2032903,0.23983590000000113,-3982.3
0003,20,119131.2487,118281.6434,-849.6053,9.156515910000001,9.41094908,0.254433170000001,-3339.21
0003,21,122852.7983,122138.4538,-714.3445,9.33062739,9.5995841,0.2689567100000015,-2655.98
0003,22,126237.2415,125659.4118,-577.8297,9.48439376,9.76768783,0.2832940700000006,-2039.68
0003,23,129441.6731,128959.1606,-482.5125,9.62253909,9.91972794,0.29718885000000156,-1623.59
0003,24,132294.1081,131950.5849,-343.5232,9.74309127,10.05334912,0.3102578500000018,-1107.22
0003,25,134854.7866,134672.4901,-182.2965,9.849801320000001,10.17205228,0.3222509600000019,-565.7
0003,26,137114.0899,137087.6156,-26.4743,9.94108506,10.27405057,0.3329655100000018,-79.51
0003,27,139142.8887,139232.2523,89.3636,10.0215034,10.36320725,0.3417038500000024,261.52
0003,28,140929.7229,141149.3209,219.598,10.09042684,10.44069034,0.3502635000000024,626.95
0003,29,142522.9309,142796.8998,273.9689,10.148813370000001,10.505703449999999,0.3568900800000018,767.66
0003,30,143844.2464,144211.968,367.7216,10.19801572,10.56138488,0.363369160000002,1011.98
0003,31,144982.3054,145443.6615,461.3561,10.23939598,10.60785529,0.36845931000000276,1252.12
0003,32,145964.5354,146515.4285,550.8931,10.27375629,10.64696463,0.37320834000000325,1476.1
0003,33,146788.3269,147428.9494,640.6225,10.30217047,10.678986,0.3768155300000028,1700.1
0003,34,147453.0228,148168.7575,715.7347,10.32471676,10.70512105,0.3804042900000029,1881.51
0003,35,147982.018,148780.6383,798.6203,10.342626,10.72640241,0.38377641000000295,2080.95
0003,36,148398.7173,149232.256,833.5387,10.35670447,10.74314185,0.38643738000000305,2156.98
0003,37,148727.0167,149604.2605,877.2438,10.367257050000001,10.756218279999999,0.38896123000000227,2255.35
0003,38,148996.1459,149895.4163,899.2704,10.37557613,10.76644941,0.3908732800000027,2300.67
0003,39,149211.1043,150119.1866,908.0823,10.38184484,10.77419297,0.39234813000000285,2314.48
0004,1,6706.5006,6712.4328,5.9322,0.79237063,0.79283438,0.0004637499999999818,12791.81
0004,2,13409.9806,13396.1365,-13.8441,1.53951792,1.54320028,0.0036823599999999714,-3759.57
0004,3,20332.0949,20311.3214,-20.7735,2.25002676,2.25918492,0.009158159999999771,-2268.3
0004,4,27298.4177,27192.44,-105.9777,2.9184488099999997,2.9350104299999997,0.016561620000000037,-6398.99
0004,5,34246.1893,34014.2794,-231.9099,3.54665166,3.57237566,0.025723999999999796,-9015.31
0004,6,41215.4919,40862.9236,-352.5683,4.141603040000001,4.17760337,0.036000329999999664,-9793.47
0004,7,48020.3123,47597.2182,-423.0941,4.69692508,4.74494179,0.04801670999999987,-8811.39
0004,8,54753.8528,54284.7634,-469.0894,5.22041192,5.2808208500000005,0.060408929999999965,-7765.23
0004,9,61435.7332,60815.8013,-619.9319,5.71231016,5.78603833,0.07372816999999995,-8408.35
0004,10,67786.9626,67141.3954,-645.5672,6.16710099,6.2562764600000005,0.08917546999999977,-7239.29
0004,11,74054.0707,73422.0975,-631.9732,6.59131277,6.696726270000001,0.10541349999999948,-5995.18
0004,12,80121.1661,79522.5334,-598.6327,6.98823049,7.108719079999999,0.12048858999999938,-4968.38
0004,13,86019.9426,85456.2304,-563.7122,7.355970149999999,7.491873330000001,0.13590317999999824,-4147.9
0004,14,91668.1372,91122.8998,-545.2374,7.69557993,7.84770913,0.15212919999999722,-3584.04
0004,15,97125.7643,96681.7252,-444.0391,8.00810031,8.17611372,0.16801340999999664,-2642.88
0004,16,102256.4968,101928.4284,-328.0684,8.29432969,8.47874121,0.1844115199999971,-1779.0
0004,17,107207.2386,107035.7046,-171.534,8.55851799,8.76076924,0.2022512499999968,-848.12
0004,18,111846.9352,111847.1123,0.1771,8.79741892,9.01840795,0.22098902999999553,0.8
0004,19,116191.8262,116343.2935,151.4673,9.012181380000001,9.25222647,0.2400450899999967,631.0
0004,20,120195.3662,120543.3558,347.9896,9.20464782,9.46228002,0.2576321999999971,1350.72
0004,21,123943.9896,124507.2505,563.2609,9.378807,9.654144749999999,0.2753377499999973,2045.71
0004,22,127304.7567,128088.8391,784.0824,9.53286392,9.824357730000001,0.291493809999997,2689.88
0004,23,130385.9014,131419.4779,1033.5765,9.670127169999999,9.97715743,0.3070302599999966,3366.37
0004,24,133157.8336,134410.9866,1253.153,9.789683,10.11128543,0.3216024299999961,3896.59
0004,25,135594.4147,137187.1213,1592.7066,9.89543368,10.23201569,0.3365820099999954,4732.0
