group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0001,183,1621,2979,1508,10000,577,1026,3804,1775,3856,1,2561,3274,1983,5979,9412,213901,3512,1155,3280
intervention--0002,209,1602,3034,1471,10000,537,1024,3760,1710,3927,1,2561,3314,1993,6033,9394,213566,3560,1226,3396
intervention--0003,180,1613,2949,1531,10000,585,1040,3870,1662,4024,1,2602,3348,2014,5990,9432,214433,3378,1227,3261
intervention--0004,204,1550,3003,1511,10000,566,962,3861,1725,3960,1,2650,3281,1986,6079,9436,216009,3452,1223,3380
intervention--0005,233,1552,3083,1454,10000,563,1013,3788,1772,4086,1,2627,3326,2013,6001,9423,213752,3441,1223,3388
intervention--0006,202,1574,3076,1476,10000,584,1034,3839,1712,4091,1,2620,3249,2073,5974,9463,215549,3429,1263,3395
intervention--0007,199,1641,3012,1552,10000,586,1011,3867,1699,4063,1,2635,3286,1960,6004,9453,213452,3673,1235,3326
intervention--0008,187,1572,3009,1491,10000,582,1028,3850,1686,3961,1,2697,3276,2028,6054,9422,212680,3588,1260,3399
intervention--0009,204,1567,3081,1501,10000,602,1023,3776,1728,3922,1,2605,3332,2015,6034,9349,213149,3574,1246,3251
intervention--0010,196,1625,2957,1555,10000,574,1005,3828,1658,4006,1,2574,3292,1984,6004,9437,213072,3482,1188,3325
intervention--0011,202,1542,2992,1495,10000,594,991,3784,1657,3934,1,2599,3287,1954,5974,9410,213968,3466,1180,3317
intervention--0012,202,1611,2953,1579,10000,601,991,3768,1790,3974,1,2637,3265,1999,6022,9403,213339,3549,1238,3352
intervention--0013,210,1555,3085,1537,10000,597,970,3878,1710,3997,1,2565,3351,2026,6060,9470,213756,3423,1238,3389
intervention--0014,199,1590,3059,1543,10000,587,990,3768,1743,3928,1,2617,3306,1971,6049,9410,215008,3592,1238,3357
intervention--0015,197,1572,3060,1522,10000,614,990,3809,1711,3919,1,2629,3329,2038,6119,9390,215944,3414,1239,3368
intervention--0016,183,1620,2998,1502,10000,610,996,3782,1761,3971,1,2607,3407,2013,5946,9380,212987,3454,1256,3201
intervention--0017,200,1576,3003,1491,10000,609,1007,3796,1650,3946,1,2694,3274,1899,5939,9430,214470,3337,1174,3326
intervention--0018,190,1571,2986,1552,10000,623,998,3857,1706,3890,1,2562,3326,2093,5937,9397,212520,3408,1173,3249
intervention--0019,225,1565,3005,1494,10000,571,1016,3768,1736,4064,1,2666,3444,1978,6046,9383,215409,3566,1242,3286
intervention--0020,194,1551,3042,1484,10000,555,1017,3865,1629,3971,1,2555,3296,1862,6030,9415,213800,3435,1256,3236
intervention--0021,170,1543,3014,1502,10000,653,1043,3713,1702,3885,1,2595,3327,1975,5966,9406,213941,3513,1165,3345
intervention--0022,223,1562,2954,1556,10000,554,1048,3790,1697,3933,1,2655,3267,1987,5984,9409,213384,3536,1202,3349
intervention--0023,222,1571,2991,1529,10000,594,1067,3809,1627,3916,1,2680,3311,2025,6007,9413,212573,3595,1214,3387
intervention--0024,199,1556,3055,1486,10000,578,1009,3778,1712,3947,1,2561,3323,2000,6020,9434,214693,3459,1250,3293
intervention--0025,209,1620,3055,1549,10000,540,929,3835,1752,4040,1,2535,3264,1989,5942,9395,213114,3584,1257,3401
intervention--0026,215,1603,3071,1480,10000,584,1005,3778,1631,3955,1,2636,3375,1942,6012,9467,215454,3559,1213,3355
intervention--0027,209,1628,2958,1551,10000,588,937,3710,1698,3850,1,2598,3275,2000,5939,9383,211988,3584,1161,3355
intervention--0028,200,1549,3054,1472,10000,555,948,3800,1676,4189,1,2627,3391,1959,5947,9393,214165,3505,1254,3292
intervention--0029,204,1608,2937,1491,10000,569,951,3692,1720,4099,1,2631,3285,1990,5980,9395,213409,3574,1245,3315
intervention--0030,220,1582,3090,1571,10000,587,1006,3892,1749,4010,1,2593,3357,1952,5980,9369,214728,3532,1240,3349
intervention--0031,212,1589,2974,1491,10000,592,925,3836,1705,3923,1,2620,3135,2009,5980,9374,213438,3505,1230,3331
intervention--0032,193,1609,3072,1533,10000,586,1011,3723,1695,3911,1,2664,3296,2003,5982,9392,214214,3527,1242,3401
intervention--0033,210,1644,3028,1506,10000,566,1021,3752,1678,4050,1,2622,3312,2019,5952,9401,213615,3513,1184,3384
intervention--0034,203,1511,2989,1485,10000,619,960,3794,1688,3956,1,2622,3308,2084,6015,9437,214058,3460,1220,3332
intervention--0035,185,1553,3068,1483,10000,598,991,3799,1753,4021,1,2658,3340,1982,6008,9418,214936,3372,1213,3374
intervention--0036,180,1550,3062,1484,10000,603,957,3825,1706,3975,1,2549,3341,1981,6043,9449,214670,3401,1194,3392
intervention--0037,211,1642,3031,1566,10000,586,1046,3875,1757,4075,1,2595,3296,2008,6043,9409,214941,3450,1176,3448
intervention--0038,203,1553,3071,1496,10000,572,1020,3775,1683,3884,1,2653,3337,2011,6011,9438,215181,3561,1270,3248
intervention--0039,228,1588,3012,1460,10000,663,1010,3878,1632,3978,1,2661,3344,1968,5956,9445,214448,3433,1239,3312
intervention--0040,197,1510,3075,1600,10000,606,997,3810,1733,4015,1,2643,3367,2021,6009,9471,215469,3477,1283,3370
intervention--0041,208,1593,3084,1490,10000,617,989,3820,1746,3925,1,2667,3282,2025,6010,9358,215787,3496,1221,3331
intervention--0042,200,1598,2985,1523,10000,590,967,3786,1660,3952,1,2572,3336,1964,6039,9378,213463,3412,1225,3301
intervention--0043,203,1621,3012,1511,10000,549,993,3863,1679,4059,1,2648,3369,1993,5992,9431,214798,3503,1254,3420
intervention--0044,207,1587,2999,1502,10000,608,1028,3891,1716,3986,1,2600,3320,1903,6037,9438,214304,3527,1257,3308
intervention--0045,201,1574,3046,1465,10000,541,973,3781,1713,3983,1,2609,3312,1940,6015,9388,211809,3546,1187,3275
intervention--0046,206,1549,3089,1484,10000,568,1020,3730,1699,3946,1,2671,3302,2025,5952,9420,214718,3552,1234,3359
intervention--0047,194,1590,3021,1521,10000,592,1006,3774,1728,3928,1,2708,3272,1939,5933,9407,213154,3479,1239,3207
intervention--0048,175,1530,3006,1505,10000,623,1020,3836,1738,3919,1,2634,3425,1972,6022,9450,214089,3390,1199,3365
intervention--0049,208,1593,3084,1490,10000,617,989,3820,1746,3925,1,2667,3282,2025,6010,9358,215787,3496,1221,3331
intervention--0050,187,1563,2933,1552,10000,611,902,3860,1787,4025,1,2625,3332,2052,5971,9409,211477,3613,1227,3416
intervention--0051,222,1565,3127,1508,10000,580,1006,3850,1687,4105,1,2685,3385,1976,6031,9469,215341,3610,1193,3395
intervention--0052,199,1587,2989,1536,10000,570,1011,3839,1726,3934,1,2672,3353,1950,6032,9407,214736,3489,1245,3405
intervention--0053,181,1547,3031,1483,10000,607,968,3874,1669,4124,1,2538,3336,2012,6012,9395,214904,3459,1208,3362
intervention--0054,193,1517,3043,1530,10000,548,964,3858,1686,4035,1,2629,3286,2010,6062,9399,212530,3454,1282,3285
intervention--0055,217,1499,3027,1439,10000,617,965,3879,1708,3800,1,2684,3363,1923,6015,9403,214066,3534,1202,3331
intervention--0056,212,1558,3071,1547,10000,608,1039,3886,1722,3999,1,2718,3423,1971,5981,9434,214864,3539,1194,3378
intervention--0057,208,1597,3010,1487,10000,602,1004,3762,1778,3844,1,2595,3302,1927,5911,9430,214718,3465,1264,3259
intervention--0058,203,1570,2979,1480,10000,596,983,3851,1729,3947,1,2667,3297,2010,6063,9453,215167,3579,1302,3381
intervention--0059,211,1576,2972,1484,10000,595,1019,3740,1679,3858,1,2630,3307,1994,5907,9373,211408,3499,1176,3199
intervention--0060,189,1635,3073,1502,10000,552,958,3796,1708,4046,1,2613,3275,1969,6040,9413,213161,3476,1180,3302
intervention--0061,190,1555,2983,1452,10000,589,967,3753,1727,3958,1,2671,3243,1961,5990,9429,213396,3415,1187,3319
intervention--0062,182,1570,2928,1518,10000,628,991,3803,1591,3952,1,2570,3303,2023,5947,9436,213452,3442,1188,3333
intervention--0063,211,1560,2965,1462,10000,567,1000,3730,1695,3986,1,2555,3368,1922,5946,9430,215806,3509,1182,3196
intervention--0064,189,1564,3069,1493,10000,567,1044,3854,1712,3964,1,2655,3343,1925,5992,9449,214855,3484,1214,3252
intervention--0065,220,1600,3107,1573,10000,578,993,3802,1717,3877,1,2700,3344,2002,6025,9398,213552,3591,1261,3323
intervention--0066,191,1559,2998,1508,10000,598,939,3895,1732,4009,1,2583,3200,1946,6003,9419,214265,3460,1233,3231
intervention--0067,192,1480,3049,1459,10000,560,980,3866,1655,3949,1,2679,3379,1995,5923,9414,214611,3481,1280,3393
intervention--0068,189,1586,3030,1476,10000,621,925,3829,1724,3893,1,2623,3259,1956,6092,9416,215669,3459,1270,3393
intervention--0069,192,1607,3076,1502,10000,581,1002,3835,1617,3929,1,2662,3268,1936,6025,9412,215425,3518,1283,3369
intervention--0070,211,1585,3022,1492,10000,593,964,3801,1725,3793,1,2667,3330,2013,5919,9413,214779,3601,1240,3320
intervention--0071,205,1600,3052,1513,10000,567,994,3839,1736,3981,1,2635,3345,1992,5926,9410,213027,3552,1200,3321
intervention--0072,215,1573,3007,1498,10000,568,1010,3875,1715,3860,1,2610,3280,2064,5946,9422,214696,3379,1188,3440
intervention--0073,177,1574,3036,1467,10000,615,996,3781,1710,3956,1,2682,3354,1896,6052,9458,215768,3389,1232,3284
intervention--0074,197,1620,3083,1493,10000,630,1000,3859,1716,3976,1,2604,3382,2066,5935,9422,214149,3554,1232,3278
intervention--0075,218,1574,3014,1545,10000,546,1047,3828,1784,3835,1,2665,3271,1931,5994,9439,213774,3460,1180,3329
intervention--0076,204,1522,2990,1483,10000,595,955,3891,1663,3983,1,2639,3306,1912,6005,9390,212706,3393,1151,3326
intervention--0077,228,1531,3123,1529,10000,579,975,3843,1734,3935,1,2649,3380,2018,5941,9384,213184,3499,1256,3414
intervention--0078,176,1563,3063,1543,10000,608,1039,3853,1766,4035,1,2685,3329,1975,5984,9406,213282,3566,1269,3401
intervention--0079,204,1515,3070,1515,10000,599,939,3790,1730,3909,1,2627,3248,2036,5881,9407,212926,3346,1276,3320
intervention--0080,175,1576,3000,1516,10000,581,1019,3780,1702,4040,1,2609,3310,2001,5977,9413,213151,3466,1271,3305
intervention--0081,177,1575,3048,1581,10000,587,1069,3794,1723,3920,1,2659,3274,1953,5930,9410,213006,3367,1191,3231
intervention--0082,203,1579,3046,1468,10000,542,995,3799,1692,3989,1,2661,3280,2060,5938,9384,214021,3512,1299,3288
intervention--0083,168,1531,2960,1470,10000,573,1037,3727,1706,3998,1,2659,3305,1952,5935,9408,214122,3337,1233,3287
intervention--0084,200,1648,3026,1502,10000,604,1028,3804,1620,4028,1,2692,3390,1991,5987,9381,213413,3496,1223,3271
