run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,run 11,run 12,run 13,run 14,run 15,run 16,run 17,run 18,run 19,run 20,run 21,run 22,run 23,run 24,run 25,run 26,run 27,run 28,run 29,run 30,run 31,run 32,run 33,run 34,run 35,run 36,run 37,run 38,run 39,run 40,run 41,run 42,run 43,run 44,run 45,run 46,run 47,run 48,run 49,run 50,run 51,run 52,run 53,run 54,run 55,run 56,run 57,run 58,run 59,run 60,run 61,run 62,run 63,run 64,run 65,run 66,run 67,run 68,run 69,run 70,run 71,run 72,run 73,run 74,run 75,run 76,run 77,run 78,run 79,run 80,run 81,run 82,run 83,run 84,run 85,run 86,run 87,run 88,run 89,run 90,run 91,run 92,run 93,run 94,run 95,run 96,run 97,run 98,run 99,run 100
142764.79,152423.66,155957.69,165988.25,138744.99,160174.98,155368.23,149544.49,151613.49,147010.65,151482.48,138947.33,135193.12,159432.51,134092.42,148620.5,147321.85,157041.13,147409.94,157102.78,168244.19,151218.92,161785.89,166647.63,162851.39,141928.42,151175.94,134562.43,165527.57,151654.45,149904.74,139660.65,156099.72,147510.13,132671.77,147368.2,141714.8,149652.21,151051.12,153900.71,171977.03,142294.61,137064.38,154537.04,151774.37,157650.61,143174.48,142434.63,171977.03,129171.21,166096.7,150515.61,154681.39,152622.77,158908.25,153976.7,166560.25,152026.08,164198.07,164875.84,154229.03,143649.11,154625.98,140034.88,150645.48,139251.18,154346.14,159102.33,179143.1,137866.14,132432.94,150259.38,163245.91,144924.9,134213.47,141147.2,147182.49,159961.94,162329.89,158930.02,149507.22,144117.83,149242.63,139875.05,158174.03,152049.67,142460.03,125820.9,159177.36,140625.14,147978.12,161787.28,136211.75,153698.84,143427.92,140059.22,142381.35,156445.85,140649.17,144170.92
10.391,10.411,10.3651,10.5,10.349,10.4936,10.3908,10.2678,10.3828,10.4066,10.3156,10.2451,10.3602,10.3723,10.4311,10.3438,10.4127,10.3598,10.4012,10.3935,10.3791,10.3296,10.4255,10.349,10.3126,10.4481,10.3474,10.413,10.2761,10.4463,10.4319,10.3683,10.3005,10.3497,10.4408,10.3667,10.32,10.3443,10.4572,10.4612,10.4145,10.4289,10.3239,10.3846,10.36,10.321,10.275,10.3734,10.4145,10.4202,10.3859,10.361,10.4393,10.2916,10.3356,10.468,10.3256,10.4392,10.217,10.3949,10.4538,10.3754,10.4677,10.4279,10.3972,10.345,10.3812,10.3888,10.4655,10.3818,10.3434,10.3239,10.5278,10.4659,10.3447,10.4028,10.3937,10.2834,10.3713,10.325,10.347,10.3397,10.3998,10.3427,10.324,10.2863,10.3352,10.2921,10.3507,10.3277,10.3791,10.3314,10.4059,10.3971,10.3182,10.3858,10.4608,10.3043,10.349,10.3967
144667.26,156255.53,157987.74,169639.65,141266.38,161441.61,157498.64,151684.45,157523.11,145885.76,153247.16,140724.29,136849.57,165846.75,134020.02,149428.41,147406.19,152324.66,147115.92,164802.4,168515.58,152763.3,165632.11,169216.62,166124.08,143355.08,153158.37,134839.14,167706.83,148867.15,151489.29,138870.37,160644.4,150217.69,128958.45,149524.35,144397.79,153285.42,148726.76,153070.25,173727.57,142651.73,141877.64,157251.84,153152.08,159247.97,143649.96,145091.13,171742.67,128428.42,169380.73,153139.31,156481.25,156127.38,163353.61,153070.16,171204.16,153154.06,167222.81,170526.18,154489.1,146817.44,155797.62,140545.5,152642.26,140661.08,155773.38,162356.68,185619.86,134399.3,138016.31,152794.83,161783.24,142824.35,131198.36,140007.49,146197.79,157824.13,164342.46,158581.03,150817.11,143665.63,150381.88,133275.67,163288.48,154830.63,142264.03,123813.89,161114.35,139905.99,147883.26,163549.85,135197.39,156581.83,143274.88,140227.33,141841.08,155106.54,138060.0,145693.83
10.632,10.6364,10.8028,10.7206,10.7318,10.7055,10.7214,10.681,10.4982,10.9335,10.7213,10.8418,10.8338,10.5455,10.9921,10.8113,10.8526,10.8856,10.8112,10.3333,10.6752,10.8699,10.4342,10.6892,10.5221,10.9793,10.689,10.7393,10.4381,10.7926,10.8026,10.9265,10.6077,10.8581,11.1026,10.7123,10.7272,10.7063,10.9551,11.0258,10.8112,10.6584,10.5698,10.6696,10.7215,10.6521,10.7551,10.8244,10.8112,10.7889,10.5048,10.6132,10.786,10.6946,10.9339,10.9594,10.6368,10.9251,10.6927,10.7592,10.8047,10.5481,10.8244,10.7648,10.5909,10.7478,10.8326,10.7897,10.5239,11.0463,10.4979,10.6783,10.8548,10.9764,11.0349,10.7552,10.7035,11.0267,10.8124,10.6495,10.7482,10.5896,10.8187,11.1011,10.6659,10.4758,10.8812,10.8941,10.6714,10.8002,11.0143,10.7131,11.0252,10.6466,10.9682,10.7073,10.9301,10.9602,10.9994,10.7966
1902.47,3831.87,2030.05,3651.4,2521.4,1266.63,2130.41,2139.96,5909.62,-1124.89,1764.68,1776.96,1656.44,6414.24,-72.4,807.91,84.34,-4716.47,-294.02,7699.62,271.39,1544.39,3846.22,2568.99,3272.69,1426.66,1982.43,276.72,2179.25,-2787.3,1584.54,-790.28,4544.68,2707.55,-3713.32,2156.15,2682.99,3633.21,-2324.35,-830.46,1750.54,357.12,4813.26,2714.8,1377.71,1597.36,475.48,2656.5,-234.36,-742.79,3284.03,2623.7,1799.86,3504.61,4445.37,-906.54,4643.91,1127.98,3024.75,5650.34,260.07,3168.33,1171.65,510.63,1996.78,1409.91,1427.25,3254.35,6476.76,-3466.84,5583.37,2535.45,-1462.67,-2100.55,-3015.11,-1139.71,-984.7,-2137.81,2012.57,-348.99,1309.9,-452.2,1139.26,-6599.38,5114.45,2780.96,-196.01,-2007.01,1936.99,-719.15,-94.86,1762.57,-1014.36,2882.99,-153.04,168.11,-540.27,-1339.31,-2589.17,1522.91
0.241,0.2253,0.4377,0.2206,0.3828,0.2119,0.3306,0.4133,0.1153,0.5269,0.4057,0.5967,0.4736,0.1733,0.561,0.4674,0.4399,0.5259,0.4101,-0.0602,0.2961,0.5403,0.0087,0.3402,0.2095,0.5313,0.3416,0.3263,0.162,0.3462,0.3707,0.5582,0.3072,0.5084,0.6617,0.3456,0.4072,0.362,0.4979,0.5646,0.3967,0.2295,0.2459,0.285,0.3616,0.3311,0.4801,0.451,0.3967,0.3687,0.1189,0.2521,0.3467,0.403,0.5983,0.4914,0.3112,0.4859,0.4758,0.3643,0.3509,0.1727,0.3567,0.3369,0.1937,0.4028,0.4514,0.4008,0.0584,0.6645,0.1545,0.3544,0.327,0.5106,0.6902,0.3525,0.3098,0.7433,0.4412,0.3246,0.4013,0.2499,0.4189,0.7584,0.3419,0.1895,0.546,0.602,0.3208,0.4725,0.6352,0.3817,0.6192,0.2495,0.65,0.3214,0.4693,0.6558,0.6504,0.4
7894.07,17007.86,4637.99,16552.13,6586.73,5977.49,6444.07,5177.74,51254.29,-2134.92,4349.72,2977.98,3497.55,37012.35,-129.06,1728.52,191.73,-8968.38,-716.95,-127900.66,916.55,2858.39,442094.25,7551.41,15621.43,2685.22,5803.37,848.05,13452.16,-8051.13,4274.45,-1415.76,14793.88,5325.63,-5611.79,6238.86,6588.88,10036.49,-4668.31,-1470.88,4412.76,1556.08,19574.05,9525.61,3810.04,4824.4,990.38,5890.24,-590.77,-2014.62,27620.1,10407.38,5191.4,8696.3,7430.0,-1844.81,14922.59,2321.42,6357.19,15510.13,741.15,18345.86,3284.69,1515.67,10308.62,3500.27,3161.83,8119.64,110903.42,-5217.22,36138.32,7154.2,-4473.0,-4113.89,-4368.46,-3233.22,-3178.5,-2876.11,4561.58,-1075.14,3264.14,-1809.52,2719.65,-8701.71,14958.91,14675.25,-358.99,-3333.9,6038.0,-1522.01,-149.34,4617.68,-1638.18,11555.07,-235.45,523.06,-1151.23,-2042.25,-3980.89,3807.28
20.5195,20.4395,20.4839,20.541,20.3829,20.6533,20.4641,20.2844,20.34,20.4827,20.2938,20.2643,20.3961,20.3897,20.5396,20.4238,20.3965,20.3745,20.554,20.4627,20.5375,20.3117,20.484,20.4662,20.423,20.5477,20.5009,20.4959,20.2741,20.6575,20.4154,20.2933,20.4058,20.3017,20.6099,20.4161,20.4494,20.4109,20.5595,20.582,20.5923,20.5028,20.4747,20.3648,20.42,20.3279,20.3068,20.3727,20.5923,20.4826,20.5243,20.4668,20.5793,20.3026,20.4478,20.6619,20.4536,20.5818,20.1866,20.4883,20.4419,20.4409,20.6925,20.4905,20.4071,20.3651,20.4641,20.4949,20.5349,20.508,20.4355,20.3083,20.7454,20.4965,20.2686,20.3859,20.4478,20.2427,20.3962,20.3131,20.3886,20.3855,20.5848,20.4292,20.2483,20.3861,20.3304,20.4295,20.3373,20.4199,20.4378,20.3481,20.4665,20.4127,20.3401,20.5576,20.636,20.3809,20.3963,20.4092
21.1064,21.0284,21.5966,21.1449,21.3449,21.1936,21.305,21.3193,20.5802,21.8516,21.3564,21.7939,21.6083,20.8214,21.953,21.6043,21.5159,21.67,21.5409,20.2936,21.2255,21.6517,20.4837,21.2914,20.9274,21.8674,21.3096,21.2588,20.7174,21.4945,21.3376,21.6914,21.2137,21.5974,22.2923,21.2716,21.4665,21.2874,21.8169,21.9642,21.5952,21.1066,21.0893,21.121,21.3189,21.1607,21.4995,21.5146,21.5952,21.4329,20.8413,21.0921,21.4233,21.3721,21.9563,21.8807,21.2332,21.8139,21.3624,21.364,21.3604,20.843,21.537,21.3411,20.8904,21.4042,21.6029,21.5159,20.6914,22.1767,20.8201,21.2165,21.5534,21.7814,22.0089,21.2706,21.2399,22.1295,21.5095,21.1308,21.3464,21.0192,21.5954,22.3081,21.0983,20.831,21.6622,21.9077,21.1373,21.612,21.9963,21.2968,22.0504,21.056,21.9924,21.354,21.7944,22.0353,22.0144,21.4209
0.5869,0.5889,1.1127,0.6039,0.962,0.5403,0.8409,1.0349,0.2402,1.3689,1.0626,1.5296,1.2122,0.4317,1.4134,1.1805,1.1194,1.2955,0.9869,-0.1691,0.688,1.34,-0.0003,0.8252,0.5044,1.3197,0.8087,0.7629,0.4433,0.837,0.9222,1.3981,0.8079,1.2957,1.6824,0.8555,1.0171,0.8765,1.2574,1.3822,1.0029,0.6038,0.6146,0.7562,0.8989,0.8328,1.1927,1.1419,1.0029,0.9503,0.317,0.6253,0.844,1.0695,1.5085,1.2188,0.7796,1.2321,1.1758,0.8757,0.9185,0.4021,0.8445,0.8506,0.4833,1.0391,1.1388,1.021,0.1565,1.6687,0.3846,0.9082,0.808,1.2849,1.7403,0.8847,0.7921,1.8868,1.1133,0.8177,0.9578,0.6337,1.0106,1.8789,0.85,0.4449,1.3318,1.4782,0.8,1.1921,1.5585,0.9487,1.5839,0.6433,1.6523,0.7964,1.1584,1.6544,1.6181,1.0117
58263.25,70338.83,68689.28,75830.63,59757.49,76482.49,67389.07,65114.34,75516.4,60781.93,63688.3,62472.1,52505.74,74484.24,52438.16,71749.19,65996.2,75722.58,67274.81,71265.62,80810.61,70180.5,77999.47,77612.58,87437.81,59665.96,70228.38,57216.28,78047.79,65292.21,66219.59,59044.03,75066.56,65360.44,50863.48,66365.44,61314.89,65565.79,65858.74,71509.96,81422.55,58676.02,57664.55,73032.07,66836.98,76306.91,64215.5,60877.51,81422.55,47199.32,81197.63,66426.48,69512.23,74834.33,72934.44,72506.78,84026.32,67591.05,78552.93,87202.94,73006.95,58499.68,71389.88,57404.19,61256.04,55979.64,71142.85,76774.11,95996.61,54866.06,52515.28,71220.44,80542.67,62151.29,52299.26,59750.7,64508.91,73462.63,80227.48,70387.01,64977.65,60155.62,63561.65,57056.42,77835.71,71171.46,56142.09,43292.03,76142.47,58446.84,65903.08,76446.76,55808.52,71776.62,58396.32,57415.21,58623.58,70203.98,48993.46,60294.38
84501.53,82084.83,87268.41,90157.61,78987.5,83692.49,87979.17,84430.14,76097.09,86228.72,87794.18,76475.23,82687.38,84948.27,81654.26,76871.31,81325.65,81318.55,80135.13,85837.16,87433.58,81038.41,83786.42,89035.05,75413.58,82262.46,80947.56,77346.15,87479.79,86362.24,83685.16,80616.62,81033.16,82149.69,81808.29,81002.75,80399.91,84086.41,85192.38,82390.75,90554.48,83618.59,79399.83,81504.97,84937.39,81343.69,78958.98,81557.12,90554.48,81971.89,84899.07,84089.13,85169.16,77788.44,85973.81,81469.91,82533.93,84435.03,85645.14,77672.9,81222.07,85149.43,83236.09,82630.69,89389.44,83271.54,83203.29,82328.22,83146.49,83000.08,79917.66,79038.94,82703.24,82773.62,81914.21,81396.5,82673.58,86499.31,82102.41,88543.02,84529.57,83962.21,85680.97,82818.63,80338.32,80878.21,86317.94,82528.87,83034.89,82178.31,82075.04,85340.53,80403.23,81922.22,85031.61,82644.01,83757.77,86241.87,91655.7,83876.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59414.8,71719.67,71323.15,77335.33,61681.55,77880.48,69343.98,67493.08,76283.51,63473.38,65959.03,65744.59,54515.52,75658.97,54855.81,74743.0,68507.88,79265.46,69652.33,70902.03,82896.65,73581.09,78025.51,79946.39,89107.05,62360.37,72314.29,58778.02,79192.84,67165.25,68357.37,61851.49,77142.4,68296.55,53612.94,68330.62,63476.64,67642.12,68672.2,75057.93,84325.1,59767.68,58842.01,74895.08,68932.62,78582.63,66888.53,63215.65,84325.1,48538.86,82013.12,67880.62,71652.58,77539.02,76881.6,75615.2,86434.61,70430.08,81990.8,90108.26,75302.39,59374.34,73560.23,58974.78,62278.86,57861.43,73974.48,79598.39,96477.51,57907.02,53173.64,73471.52,82835.97,64871.86,55365.88,61501.75,66183.25,78471.22,83433.38,72392.13,67250.1,61394.91,65839.72,60694.3,80247.3,72314.19,58763.04,45322.69,78378.22,60776.27,69588.54,79075.71,58692.32,73378.95,61675.29,58914.19,60895.48,74328.54,51592.23,62336.86
78684.21,79564.33,80129.71,87635.98,74718.45,79268.04,83498.78,79326.22,74846.55,77603.23,82097.61,69253.96,75953.55,83994.72,73216.0,68860.9,72885.63,68401.53,72959.96,87815.96,81466.33,73264.66,81988.29,83629.54,72908.43,74234.41,75670.51,70640.67,84586.82,76985.69,76825.55,71801.66,77557.65,75374.36,70767.72,74558.34,76404.57,79127.76,75736.0,72620.98,83119.44,78164.22,76763.73,75782.96,77971.9,75494.28,71731.46,76542.1,83119.44,75258.17,82024.83,79337.65,79605.68,73761.32,79778.65,71312.23,79516.48,77398.88,79221.65,74109.04,74389.4,81571.01,76023.68,75197.44,86351.22,77408.8,76095.13,77960.76,84047.42,70893.92,78323.42,75318.47,74354.08,73168.24,70780.88,74360.49,75154.6,74678.46,74642.48,80528.75,79323.49,77727.67,78654.57,68061.95,76536.87,78218.58,77286.88,73036.92,77950.02,74455.85,71735.08,79466.96,72177.65,79148.08,76222.02,74964.13,75919.35,74406.95,79762.34,79158.11
6568.25,4971.53,6534.89,4668.34,4866.37,4293.1,4655.88,4865.14,6393.05,4809.14,5190.51,5725.74,6380.5,6193.06,5948.21,5824.51,6012.68,4657.67,4503.62,6084.41,4152.6,5917.55,5618.32,5640.69,4108.6,6760.3,5173.57,5420.46,3927.16,4716.21,6306.36,5217.21,5944.35,6546.77,4577.79,6635.39,4516.58,6515.54,4318.56,5391.34,6283.03,4719.84,6271.9,6573.8,6247.56,5171.06,5029.97,5333.38,4298.13,4631.39,5342.79,5921.03,5222.99,4827.03,6693.36,6142.73,5253.07,5325.11,6010.37,6308.88,4797.32,5872.09,6213.72,6373.28,4012.17,5390.86,5703.77,4797.53,5094.93,5598.36,6519.25,4004.84,4593.19,4784.24,5051.59,4145.25,4859.94,4674.45,6266.6,5660.16,4243.52,4543.05,5887.59,4519.42,6504.3,4297.87,6214.1,5454.29,4786.12,4673.87,6559.64,5007.18,4327.42,4054.81,5377.58,6349.02,5026.25,6371.05,6705.42,4198.86
