run,Total cost non-intervention,Treatment costs - non-intervention,Complication costs - non-intervention,Intervention costs - non-intervention,QALY non-intervention,Total cost intervention,Treatment costs - intervention,Complication costs - intervention,Intervention costs - intervention,QALY intervention,Cost increment,QALY increment,ICER,ICER: mean inc Cost / mean inc QALY,Remaining LY non-intervention,Remaining LY intervention,LY increment
0001,142764.79,58263.25,84501.53,0.0,10.391,144667.26,59414.8,78684.21,6568.25,10.632,1902.47,0.241,7894.07,,20.5195,21.1064,0.5869
0002,152423.66,70338.83,82084.83,0.0,10.411,156255.53,71719.67,79564.33,4971.53,10.6364,3831.87,0.2253,17007.86,,20.4395,21.0284,0.5889
0003,155957.69,68689.28,87268.41,0.0,10.3651,157987.74,71323.15,80129.71,6534.89,10.8028,2030.05,0.4377,4637.99,,20.4839,21.5966,1.1127
0004,165988.25,75830.63,90157.61,0.0,10.5,169639.65,77335.33,87635.98,4668.34,10.7206,3651.4,0.2206,16552.13,,20.541,21.1449,0.6039
0005,138744.99,59757.49,78987.5,0.0,10.349,141266.38,61681.55,74718.45,4866.37,10.7318,2521.4,0.3828,6586.73,,20.3829,21.3449,0.962
0006,160174.98,76482.49,83692.49,0.0,10.4936,161441.61,77880.48,79268.04,4293.1,10.7055,1266.63,0.2119,5977.49,,20.6533,21.1936,0.5403
0007,155368.23,67389.07,87979.17,0.0,10.3908,157498.64,69343.98,83498.78,4655.88,10.7214,2130.41,0.3306,6444.07,,20.4641,21.305,0.8409
0008,149544.49,65114.34,84430.14,0.0,10.2678,151684.45,67493.08,79326.22,4865.14,10.681,2139.96,0.4133,5177.74,,20.2844,21.3193,1.0349
0009,151613.49,75516.4,76097.09,0.0,10.3828,157523.11,76283.51,74846.55,6393.05,10.4982,5909.62,0.1153,51254.29,,20.34,20.5802,0.2402
0010,147010.65,60781.93,86228.72,0.0,10.4066,145885.76,63473.38,77603.23,4809.14,10.9335,-1124.89,0.5269,-2134.92,,20.4827,21.8516,1.3689
0011,151482.48,63688.3,87794.18,0.0,10.3156,153247.16,65959.03,82097.61,5190.51,10.7213,1764.68,0.4057,4349.72,,20.2938,21.3564,1.0626
0012,138947.33,62472.1,76475.23,0.0,10.2451,140724.29,65744.59,69253.96,5725.74,10.8418,1776.96,0.5967,2977.98,,20.2643,21.7939,1.5296
0013,135193.12,52505.74,82687.38,0.0,10.3602,136849.57,54515.52,75953.55,6380.5,10.8338,1656.44,0.4736,3497.55,,20.3961,21.6083,1.2122
0014,159432.51,74484.24,84948.27,0.0,10.3723,165846.75,75658.97,83994.72,6193.06,10.5455,6414.24,0.1733,37012.35,,20.3897,20.8214,0.4317
0015,134092.42,52438.16,81654.26,0.0,10.4311,134020.02,54855.81,73216.0,5948.21,10.9921,-72.4,0.561,-129.06,,20.5396,21.953,1.4134
0016,148620.5,71749.19,76871.31,0.0,10.3438,149428.41,74743.0,68860.9,5824.51,10.8113,807.91,0.4674,1728.52,,20.4238,21.6043,1.1805
0017,147321.85,65996.2,81325.65,0.0,10.4127,147406.19,68507.88,72885.63,6012.68,10.8526,84.34,0.4399,191.73,,20.3965,21.5159,1.1194
0018,157041.13,75722.58,81318.55,0.0,10.3598,152324.66,79265.46,68401.53,4657.67,10.8856,-4716.47,0.5259,-8968.38,,20.3745,21.67,1.2955
0019,147409.94,67274.81,80135.13,0.0,10.4012,147115.92,69652.33,72959.96,4503.62,10.8112,-294.02,0.4101,-716.95,,20.554,21.5409,0.9869
0020,157102.78,71265.62,85837.16,0.0,10.3935,164802.4,70902.03,87815.96,6084.41,10.3333,7699.62,-0.0602,-127900.66,,20.4627,20.2936,-0.1691
0021,168244.19,80810.61,87433.58,0.0,10.3791,168515.58,82896.65,81466.33,4152.6,10.6752,271.39,0.2961,916.55,,20.5375,21.2255,0.688
0022,151218.92,70180.5,81038.41,0.0,10.3296,152763.3,73581.09,73264.66,5917.55,10.8699,1544.39,0.5403,2858.39,,20.3117,21.6517,1.34
0023,161785.89,77999.47,83786.42,0.0,10.4255,165632.11,78025.51,81988.29,5618.32,10.4342,3846.22,0.0087,442094.25,,20.484,20.4837,-0.0003
0024,166647.63,77612.58,89035.05,0.0,10.349,169216.62,79946.39,83629.54,5640.69,10.6892,2568.99,0.3402,7551.41,,20.4662,21.2914,0.8252
0025,162851.39,87437.81,75413.58,0.0,10.3126,166124.08,89107.05,72908.43,4108.6,10.5221,3272.69,0.2095,15621.43,,20.423,20.9274,0.5044
0026,141928.42,59665.96,82262.46,0.0,10.4481,143355.08,62360.37,74234.41,6760.3,10.9793,1426.66,0.5313,2685.22,,20.5477,21.8674,1.3197
0027,151175.94,70228.38,80947.56,0.0,10.3474,153158.37,72314.29,75670.51,5173.57,10.689,1982.43,0.3416,5803.37,,20.5009,21.3096,0.8087
0028,134562.43,57216.28,77346.15,0.0,10.413,134839.14,58778.02,70640.67,5420.46,10.7393,276.72,0.3263,848.05,,20.4959,21.2588,0.7629
0029,165527.57,78047.79,87479.79,0.0,10.2761,167706.83,79192.84,84586.82,3927.16,10.4381,2179.25,0.162,13452.16,,20.2741,20.7174,0.4433
0030,151654.45,65292.21,86362.24,0.0,10.4463,148867.15,67165.25,76985.69,4716.21,10.7926,-2787.3,0.3462,-8051.13,,20.6575,21.4945,0.837
0031,149904.74,66219.59,83685.16,0.0,10.4319,151489.29,68357.37,76825.55,6306.36,10.8026,1584.54,0.3707,4274.45,,20.4154,21.3376,0.9222
0032,139660.65,59044.03,80616.62,0.0,10.3683,138870.37,61851.49,71801.66,5217.21,10.9265,-790.28,0.5582,-1415.76,,20.2933,21.6914,1.3981
0033,156099.72,75066.56,81033.16,0.0,10.3005,160644.4,77142.4,77557.65,5944.35,10.6077,4544.68,0.3072,14793.88,,20.4058,21.2137,0.8079
0034,147510.13,65360.44,82149.69,0.0,10.3497,150217.69,68296.55,75374.36,6546.77,10.8581,2707.55,0.5084,5325.63,,20.3017,21.5974,1.2957
0035,132671.77,50863.48,81808.29,0.0,10.4408,128958.45,53612.94,70767.72,4577.79,11.1026,-3713.32,0.6617,-5611.79,,20.6099,22.2923,1.6824
0036,147368.2,66365.44,81002.75,0.0,10.3667,149524.35,68330.62,74558.34,6635.39,10.7123,2156.15,0.3456,6238.86,,20.4161,21.2716,0.8555
0037,141714.8,61314.89,80399.91,0.0,10.32,144397.79,63476.64,76404.57,4516.58,10.7272,2682.99,0.4072,6588.88,,20.4494,21.4665,1.0171
0038,149652.21,65565.79,84086.41,0.0,10.3443,153285.42,67642.12,79127.76,6515.54,10.7063,3633.21,0.362,10036.49,,20.4109,21.2874,0.8765
0039,151051.12,65858.74,85192.38,0.0,10.4572,148726.76,68672.2,75736.0,4318.56,10.9551,-2324.35,0.4979,-4668.31,,20.5595,21.8169,1.2574
0040,153900.71,71509.96,82390.75,0.0,10.4612,153070.25,75057.93,72620.98,5391.34,11.0258,-830.46,0.5646,-1470.88,,20.582,21.9642,1.3822
0041,171977.03,81422.55,90554.48,0.0,10.4145,173727.57,84325.1,83119.44,6283.03,10.8112,1750.54,0.3967,4412.76,,20.5923,21.5952,1.0029
0042,142294.61,58676.02,83618.59,0.0,10.4289,142651.73,59767.68,78164.22,4719.84,10.6584,357.12,0.2295,1556.08,,20.5028,21.1066,0.6038
0043,137064.38,57664.55,79399.83,0.0,10.3239,141877.64,58842.01,76763.73,6271.9,10.5698,4813.26,0.2459,19574.05,,20.4747,21.0893,0.6146
0044,154537.04,73032.07,81504.97,0.0,10.3846,157251.84,74895.08,75782.96,6573.8,10.6696,2714.8,0.285,9525.61,,20.3648,21.121,0.7562
0045,151774.37,66836.98,84937.39,0.0,10.36,153152.08,68932.62,77971.9,6247.56,10.7215,1377.71,0.3616,3810.04,,20.42,21.3189,0.8989
0046,157650.61,76306.91,81343.69,0.0,10.321,159247.97,78582.63,75494.28,5171.06,10.6521,1597.36,0.3311,4824.4,,20.3279,21.1607,0.8328
0047,143174.48,64215.5,78958.98,0.0,10.275,143649.96,66888.53,71731.46,5029.97,10.7551,475.48,0.4801,990.38,,20.3068,21.4995,1.1927
0048,142434.63,60877.51,81557.12,0.0,10.3734,145091.13,63215.65,76542.1,5333.38,10.8244,2656.5,0.451,5890.24,,20.3727,21.5146,1.1419
0049,171977.03,81422.55,90554.48,0.0,10.4145,171742.67,84325.1,83119.44,4298.13,10.8112,-234.36,0.3967,-590.77,,20.5923,21.5952,1.0029
0050,129171.21,47199.32,81971.89,0.0,10.4202,128428.42,48538.86,75258.17,4631.39,10.7889,-742.79,0.3687,-2014.62,,20.4826,21.4329,0.9503
0051,166096.7,81197.63,84899.07,0.0,10.3859,169380.73,82013.12,82024.83,5342.79,10.5048,3284.03,0.1189,27620.1,,20.5243,20.8413,0.317
0052,150515.61,66426.48,84089.13,0.0,10.361,153139.31,67880.62,79337.65,5921.03,10.6132,2623.7,0.2521,10407.38,,20.4668,21.0921,0.6253
0053,154681.39,69512.23,85169.16,0.0,10.4393,156481.25,71652.58,79605.68,5222.99,10.786,1799.86,0.3467,5191.4,,20.5793,21.4233,0.844
0054,152622.77,74834.33,77788.44,0.0,10.2916,156127.38,77539.02,73761.32,4827.03,10.6946,3504.61,0.403,8696.3,,20.3026,21.3721,1.0695
0055,158908.25,72934.44,85973.81,0.0,10.3356,163353.61,76881.6,79778.65,6693.36,10.9339,4445.37,0.5983,7430.0,,20.4478,21.9563,1.5085
0056,153976.7,72506.78,81469.91,0.0,10.468,153070.16,75615.2,71312.23,6142.73,10.9594,-906.54,0.4914,-1844.81,,20.6619,21.8807,1.2188
0057,166560.25,84026.32,82533.93,0.0,10.3256,171204.16,86434.61,79516.48,5253.07,10.6368,4643.91,0.3112,14922.59,,20.4536,21.2332,0.7796
0058,152026.08,67591.05,84435.03,0.0,10.4392,153154.06,70430.08,77398.88,5325.11,10.9251,1127.98,0.4859,2321.42,,20.5818,21.8139,1.2321
0059,164198.07,78552.93,85645.14,0.0,10.217,167222.81,81990.8,79221.65,6010.37,10.6927,3024.75,0.4758,6357.19,,20.1866,21.3624,1.1758
0060,164875.84,87202.94,77672.9,0.0,10.3949,170526.18,90108.26,74109.04,6308.88,10.7592,5650.34,0.3643,15510.13,,20.4883,21.364,0.8757
0061,154229.03,73006.95,81222.07,0.0,10.4538,154489.1,75302.39,74389.4,4797.32,10.8047,260.07,0.3509,741.15,,20.4419,21.3604,0.9185
0062,143649.11,58499.68,85149.43,0.0,10.3754,146817.44,59374.34,81571.01,5872.09,10.5481,3168.33,0.1727,18345.86,,20.4409,20.843,0.4021
0063,154625.98,71389.88,83236.09,0.0,10.4677,155797.62,73560.23,76023.68,6213.72,10.8244,1171.65,0.3567,3284.69,,20.6925,21.537,0.8445
0064,140034.88,57404.19,82630.69,0.0,10.4279,140545.5,58974.78,75197.44,6373.28,10.7648,510.63,0.3369,1515.67,,20.4905,21.3411,0.8506
0065,150645.48,61256.04,89389.44,0.0,10.3972,152642.26,62278.86,86351.22,4012.17,10.5909,1996.78,0.1937,10308.62,,20.4071,20.8904,0.4833
0066,139251.18,55979.64,83271.54,0.0,10.345,140661.08,57861.43,77408.8,5390.86,10.7478,1409.91,0.4028,3500.27,,20.3651,21.4042,1.0391
0067,154346.14,71142.85,83203.29,0.0,10.3812,155773.38,73974.48,76095.13,5703.77,10.8326,1427.25,0.4514,3161.83,,20.4641,21.6029,1.1388
0068,159102.33,76774.11,82328.22,0.0,10.3888,162356.68,79598.39,77960.76,4797.53,10.7897,3254.35,0.4008,8119.64,,20.4949,21.5159,1.021
0069,179143.1,95996.61,83146.49,0.0,10.4655,185619.86,96477.51,84047.42,5094.93,10.5239,6476.76,0.0584,110903.42,,20.5349,20.6914,0.1565
0070,137866.14,54866.06,83000.08,0.0,10.3818,134399.3,57907.02,70893.92,5598.36,11.0463,-3466.84,0.6645,-5217.22,,20.508,22.1767,1.6687
0071,132432.94,52515.28,79917.66,0.0,10.3434,138016.31,53173.64,78323.42,6519.25,10.4979,5583.37,0.1545,36138.32,,20.4355,20.8201,0.3846
0072,150259.38,71220.44,79038.94,0.0,10.3239,152794.83,73471.52,75318.47,4004.84,10.6783,2535.45,0.3544,7154.2,,20.3083,21.2165,0.9082
0073,163245.91,80542.67,82703.24,0.0,10.5278,161783.24,82835.97,74354.08,4593.19,10.8548,-1462.67,0.327,-4473.0,,20.7454,21.5534,0.808
0074,144924.9,62151.29,82773.62,0.0,10.4659,142824.35,64871.86,73168.24,4784.24,10.9764,-2100.55,0.5106,-4113.89,,20.4965,21.7814,1.2849
0075,134213.47,52299.26,81914.21,0.0,10.3447,131198.36,55365.88,70780.88,5051.59,11.0349,-3015.11,0.6902,-4368.46,,20.2686,22.0089,1.7403
0076,141147.2,59750.7,81396.5,0.0,10.4028,140007.49,61501.75,74360.49,4145.25,10.7552,-1139.71,0.3525,-3233.22,,20.3859,21.2706,0.8847
0077,147182.49,64508.91,82673.58,0.0,10.3937,146197.79,66183.25,75154.6,4859.94,10.7035,-984.7,0.3098,-3178.5,,20.4478,21.2399,0.7921
0078,159961.94,73462.63,86499.31,0.0,10.2834,157824.13,78471.22,74678.46,4674.45,11.0267,-2137.81,0.7433,-2876.11,,20.2427,22.1295,1.8868
0079,162329.89,80227.48,82102.41,0.0,10.3713,164342.46,83433.38,74642.48,6266.6,10.8124,2012.57,0.4412,4561.58,,20.3962,21.5095,1.1133
0080,158930.02,70387.01,88543.02,0.0,10.325,158581.03,72392.13,80528.75,5660.16,10.6495,-348.99,0.3246,-1075.14,,20.3131,21.1308,0.8177
0081,149507.22,64977.65,84529.57,0.0,10.347,150817.11,67250.1,79323.49,4243.52,10.7482,1309.9,0.4013,3264.14,,20.3886,21.3464,0.9578
0082,144117.83,60155.62,83962.21,0.0,10.3397,143665.63,61394.91,77727.67,4543.05,10.5896,-452.2,0.2499,-1809.52,,20.3855,21.0192,0.6337
0083,149242.63,63561.65,85680.97,0.0,10.3998,150381.88,65839.72,78654.57,5887.59,10.8187,1139.26,0.4189,2719.65,,20.5848,21.5954,1.0106
0084,139875.05,57056.42,82818.63,0.0,10.3427,133275.67,60694.3,68061.95,4519.42,11.1011,-6599.38,0.7584,-8701.71,,20.4292,22.3081,1.8789
0085,158174.03,77835.71,80338.32,0.0,10.324,163288.48,80247.3,76536.87,6504.3,10.6659,5114.45,0.3419,14958.91,,20.2483,21.0983,0.85
0086,152049.67,71171.46,80878.21,0.0,10.2863,154830.63,72314.19,78218.58,4297.87,10.4758,2780.96,0.1895,14675.25,,20.3861,20.831,0.4449
0087,142460.03,56142.09,86317.94,0.0,10.3352,142264.03,58763.04,77286.88,6214.1,10.8812,-196.01,0.546,-358.99,,20.3304,21.6622,1.3318
0088,125820.9,43292.03,82528.87,0.0,10.2921,123813.89,45322.69,73036.92,5454.29,10.8941,-2007.01,0.602,-3333.9,,20.4295,21.9077,1.4782
0089,159177.36,76142.47,83034.89,0.0,10.3507,161114.35,78378.22,77950.02,4786.12,10.6714,1936.99,0.3208,6038.0,,20.3373,21.1373,0.8
0090,140625.14,58446.84,82178.31,0.0,10.3277,139905.99,60776.27,74455.85,4673.87,10.8002,-719.15,0.4725,-1522.01,,20.4199,21.612,1.1921
0091,147978.12,65903.08,82075.04,0.0,10.3791,147883.26,69588.54,71735.08,6559.64,11.0143,-94.86,0.6352,-149.34,,20.4378,21.9963,1.5585
0092,161787.28,76446.76,85340.53,0.0,10.3314,163549.85,79075.71,79466.96,5007.18,10.7131,1762.57,0.3817,4617.68,,20.3481,21.2968,0.9487
0093,136211.75,55808.52,80403.23,0.0,10.4059,135197.39,58692.32,72177.65,4327.42,11.0252,-1014.36,0.6192,-1638.18,,20.4665,22.0504,1.5839
0094,153698.84,71776.62,81922.22,0.0,10.3971,156581.83,73378.95,79148.08,4054.81,10.6466,2882.99,0.2495,11555.07,,20.4127,21.056,0.6433
0095,143427.92,58396.32,85031.61,0.0,10.3182,143274.88,61675.29,76222.02,5377.58,10.9682,-153.04,0.65,-235.45,,20.3401,21.9924,1.6523
0096,140059.22,57415.21,82644.01,0.0,10.3858,140227.33,58914.19,74964.13,6349.02,10.7073,168.11,0.3214,523.06,,20.5576,21.354,0.7964
0097,142381.35,58623.58,83757.77,0.0,10.4608,141841.08,60895.48,75919.35,5026.25,10.9301,-540.27,0.4693,-1151.23,,20.636,21.7944,1.1584
0098,156445.85,70203.98,86241.87,0.0,10.3043,155106.54,74328.54,74406.95,6371.05,10.9602,-1339.31,0.6558,-2042.25,,20.3809,22.0353,1.6544
0099,140649.17,48993.46,91655.7,0.0,10.349,138060.0,51592.23,79762.34,6705.42,10.9994,-2589.17,0.6504,-3980.89,,20.3963,22.0144,1.6181
0100,144170.92,60294.38,83876.54,0.0,10.3967,145693.83,62336.86,79158.11,4198.86,10.7966,1522.91,0.4,3807.28,,20.4092,21.4209,1.0117
mean,150432.65,67258.8578,83173.7918,0.0,10.3747,151689.0505,69488.893,76823.4149,5376.7427,10.7658,1256.4012,0.3911,9103.3655,3212.4807,20.4416,21.4212,0.9796
