group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
intervention--0013,1,104,18,1,37,192,55,49,71,16,5,45,2,43,15,53,772,55,89,9911
intervention--0013,2,203,32,1,67,345,109,109,135,39,9,102,7,111,24,121,1528,123,207,9793
intervention--0013,3,295,61,2,113,583,178,191,191,65,21,150,10,204,37,220,2391,183,358,9642
intervention--0013,4,400,86,4,160,789,254,261,246,76,30,198,14,286,48,315,3213,255,515,9485
intervention--0013,5,495,117,6,211,1032,334,343,302,100,47,251,18,393,54,399,3984,320,672,9328
intervention--0013,6,598,141,10,265,1246,421,428,360,122,62,292,21,501,74,491,4688,382,844,9156
intervention--0013,7,697,174,13,323,1490,510,502,405,153,78,328,27,631,96,585,5318,445,1015,8985
intervention--0013,8,786,218,17,382,1718,586,589,447,176,92,371,37,763,113,683,5816,514,1199,8801
intervention--0013,9,882,260,17,443,1930,664,659,491,203,119,407,48,875,128,780,6285,582,1386,8614
intervention--0013,10,991,290,20,521,2146,760,748,540,235,144,457,54,1015,141,866,6707,647,1602,8398
intervention--0013,11,1084,332,22,610,2369,855,831,596,263,172,496,73,1123,170,957,7083,729,1858,8142
intervention--0013,12,1194,370,24,696,2589,944,908,659,303,200,537,86,1234,182,1050,7396,806,2093,7907
intervention--0013,13,1304,398,26,776,2805,1024,1001,709,332,233,575,100,1360,198,1138,7664,867,2342,7658
intervention--0013,14,1397,440,28,852,3007,1125,1095,754,355,264,629,107,1495,219,1218,7882,938,2616,7384
intervention--0013,15,1506,495,31,934,3224,1212,1182,808,384,295,667,123,1611,244,1306,8095,1022,2889,7111
intervention--0013,16,1632,539,34,1017,3449,1295,1281,860,415,321,712,141,1736,270,1398,8273,1086,3193,6807
intervention--0013,17,1721,581,38,1110,3601,1384,1365,909,454,363,759,159,1847,302,1501,8413,1148,3470,6530
intervention--0013,18,1847,631,43,1201,3763,1459,1463,963,491,407,799,177,1967,325,1586,8558,1215,3768,6232
intervention--0013,19,1980,684,50,1293,3940,1536,1553,1012,522,455,845,190,2082,347,1682,8671,1288,4105,5895
intervention--0013,20,2090,736,54,1380,4081,1612,1634,1061,557,503,882,201,2182,375,1774,8764,1352,4460,5540
intervention--0013,21,2206,791,62,1473,4246,1707,1736,1119,593,545,939,213,2297,405,1844,8843,1434,4843,5157
intervention--0013,22,2293,850,68,1575,4413,1782,1839,1158,629,601,980,238,2416,441,1951,8915,1507,5188,4812
intervention--0013,23,2394,886,73,1688,4550,1858,1940,1199,662,653,1017,258,2528,463,2034,8993,1587,5523,4477
intervention--0013,24,2501,940,78,1768,4676,1927,2053,1246,713,702,1051,270,2627,492,2106,9060,1649,5888,4112
intervention--0013,25,2590,990,87,1867,4796,2011,2142,1285,745,747,1083,299,2721,529,2195,9104,1705,6240,3760
intervention--0013,26,2692,1045,89,1975,4900,2085,2227,1332,777,804,1126,320,2823,556,2295,9155,1763,6581,3419
intervention--0013,27,2783,1091,94,2093,5021,2172,2317,1376,818,858,1166,341,2929,582,2383,9192,1811,6936,3064
intervention--0013,28,2889,1148,101,2193,5128,2242,2402,1430,849,909,1196,360,3025,613,2466,9223,1876,7293,2707
intervention--0013,29,2999,1199,106,2292,5224,2345,2495,1471,874,959,1235,379,3102,651,2551,9252,1928,7602,2398
intervention--0013,30,3110,1259,110,2381,5312,2413,2582,1513,903,1015,1278,395,3190,668,2639,9271,1991,7917,2083
intervention--0013,31,3211,1308,116,2490,5388,2500,2690,1554,945,1055,1304,415,3271,699,2736,9292,2054,8180,1820
intervention--0013,32,3305,1366,123,2571,5473,2561,2781,1612,974,1102,1336,432,3356,720,2818,9308,2125,8424,1576
intervention--0013,33,3405,1411,128,2657,5554,2636,2851,1653,1006,1160,1373,452,3416,751,2895,9316,2196,8666,1334
intervention--0013,34,3510,1465,135,2738,5625,2704,2936,1703,1045,1211,1405,475,3497,784,2982,9331,2264,8857,1143
intervention--0013,35,3595,1509,144,2826,5691,2772,3010,1750,1079,1266,1437,493,3560,827,3062,9348,2317,9050,950
intervention--0013,36,3688,1557,154,2939,5767,2849,3111,1799,1115,1298,1476,516,3623,876,3146,9359,2368,9210,790
intervention--0013,37,3771,1608,162,3032,5824,2909,3190,1851,1140,1362,1504,540,3693,919,3209,9374,2413,9364,636
intervention--0013,38,3867,1646,170,3096,5875,2988,3262,1895,1170,1413,1540,560,3760,954,3292,9386,2457,9474,526
intervention--0013,39,3952,1699,172,3168,5919,3045,3338,1934,1201,1459,1566,579,3821,988,3365,9393,2505,10000,0
intervention--0007,1,129,25,0,54,200,49,69,47,22,3,47,2,62,9,91,888,75,116,9884
intervention--0007,2,236,45,1,90,438,108,121,118,48,9,111,3,125,22,172,1686,147,249,9751
intervention--0007,3,360,72,3,134,697,179,196,178,76,16,158,14,233,34,275,2617,229,378,9622
intervention--0007,4,483,110,5,177,955,227,272,231,108,27,205,19,340,41,379,3435,305,525,9475
intervention--0007,5,593,149,6,229,1211,290,349,282,139,39,251,31,442,59,478,4167,393,698,9302
intervention--0007,6,708,183,8,304,1454,363,416,344,163,55,302,37,558,74,582,4803,459,844,9156
intervention--0007,7,818,229,11,365,1702,438,497,394,194,75,346,52,663,87,678,5360,523,1020,8980
intervention--0007,8,913,260,17,429,1963,511,574,448,216,94,403,61,776,105,791,5879,609,1213,8787
intervention--0007,9,1019,302,19,506,2220,606,656,503,252,128,453,71,899,126,887,6370,669,1436,8564
intervention--0007,10,1138,342,21,594,2455,695,744,565,291,157,501,82,1016,142,986,6760,738,1668,8332
intervention--0007,11,1254,384,28,689,2699,793,826,613,326,188,537,89,1149,163,1079,7110,827,1930,8070
intervention--0007,12,1372,437,33,778,2908,898,910,661,351,215,569,107,1294,184,1170,7383,915,2170,7830
intervention--0007,13,1482,503,35,859,3122,990,996,715,396,252,615,120,1429,207,1270,7661,1014,2436,7564
intervention--0007,14,1583,560,36,942,3326,1080,1095,771,426,289,662,131,1542,229,1384,7894,1079,2723,7277
intervention--0007,15,1701,598,43,1036,3533,1165,1193,819,476,330,708,144,1682,247,1488,8120,1161,3005,6995
intervention--0007,16,1797,649,47,1135,3714,1243,1291,867,511,375,765,164,1817,272,1574,8293,1232,3296,6704
intervention--0007,17,1910,692,53,1255,3881,1321,1387,919,549,413,808,175,1929,300,1664,8431,1319,3632,6368
intervention--0007,18,2031,740,60,1359,4055,1405,1471,965,582,461,860,187,2050,326,1755,8576,1399,3943,6057
intervention--0007,19,2139,793,68,1465,4222,1501,1567,1019,615,507,900,205,2162,349,1857,8688,1477,4285,5715
intervention--0007,20,2246,832,72,1570,4373,1584,1686,1059,647,559,950,223,2270,374,1962,8785,1557,4639,5361
intervention--0007,21,2356,889,81,1676,4519,1672,1781,1115,684,624,1000,243,2381,400,2058,8892,1626,4972,5028
intervention--0007,22,2464,947,94,1772,4647,1762,1885,1170,720,678,1062,259,2491,439,2162,8957,1693,5285,4715
intervention--0007,23,2564,1001,100,1886,4776,1842,1977,1218,754,731,1105,273,2597,469,2254,9028,1770,5640,4360
intervention--0007,24,2659,1047,107,1992,4900,1917,2086,1272,784,776,1146,301,2714,501,2349,9087,1837,5999,4001
intervention--0007,25,2768,1092,113,2111,5005,1990,2165,1317,823,825,1194,322,2817,530,2425,9139,1912,6369,3631
intervention--0007,26,2885,1123,122,2206,5117,2075,2258,1381,854,872,1238,346,2902,564,2503,9190,1984,6703,3297
intervention--0007,27,2981,1164,128,2309,5224,2164,2360,1432,886,920,1267,365,2993,595,2604,9228,2060,7065,2935
intervention--0007,28,3088,1211,133,2400,5327,2265,2469,1480,921,976,1309,386,3076,631,2687,9266,2114,7389,2611
intervention--0007,29,3175,1265,137,2508,5427,2353,2549,1521,955,1027,1346,404,3167,669,2771,9294,2166,7674,2326
intervention--0007,30,3268,1321,149,2603,5513,2427,2648,1577,992,1090,1378,424,3238,709,2847,9325,2224,7978,2022
intervention--0007,31,3391,1364,156,2702,5587,2503,2744,1623,1017,1150,1406,441,3319,749,2948,9340,2277,8237,1763
intervention--0007,32,3476,1408,163,2797,5673,2561,2821,1677,1046,1207,1442,463,3397,788,3039,9353,2324,8490,1510
intervention--0007,33,3565,1443,167,2894,5750,2628,2911,1720,1072,1262,1479,479,3478,824,3120,9367,2382,8703,1297
intervention--0007,34,3650,1481,174,2991,5817,2697,2987,1771,1101,1319,1509,499,3557,865,3204,9384,2450,8916,1084
intervention--0007,35,3741,1517,189,3073,5865,2769,3067,1810,1145,1371,1536,524,3610,908,3287,9397,2490,9116,884
intervention--0007,36,3817,1566,193,3151,5917,2822,3146,1858,1176,1440,1556,544,3676,941,3361,9404,2543,9288,712
intervention--0007,37,3910,1609,199,3232,5973,2892,3210,1907,1220,1497,1585,561,3742,984,3451,9414,2595,9401,599
intervention--0007,38,3997,1654,209,3326,6020,2955,3291,1943,1248,1547,1620,580,3791,1013,3522,9418,2639,9519,481
intervention--0007,39,4094,1700,214,3412,6064,3016,3362,1991,1280,1601,1642,597,3840,1038,3608,9428,2691,10000,0
non-intervention--0087,1,146,27,5,42,315,64,70,83,22,5,60,6,63,9,98,986,99,172,9828
non-intervention--0087,2,302,65,7,101,627,123,144,161,40,15,129,7,122,15,202,1906,192,314,9686
non-intervention--0087,3,459,98,16,182,1014,208,233,244,67,22,181,12,215,32,326,2912,306,477,9523
non-intervention--0087,4,627,134,21,252,1382,281,321,317,101,32,239,19,311,53,442,3783,415,657,9343
non-intervention--0087,5,762,165,27,338,1741,360,407,387,139,46,311,32,455,72,563,4585,521,867,9133
non-intervention--0087,6,877,203,31,429,2083,424,504,458,174,63,358,43,587,92,689,5263,630,1086,8914
non-intervention--0087,7,1008,253,41,531,2389,510,605,525,199,90,413,49,711,107,803,5805,716,1276,8724
non-intervention--0087,8,1122,292,47,625,2655,590,712,586,238,107,476,54,814,131,938,6357,796,1510,8490
non-intervention--0087,9,1254,330,56,730,2933,702,824,648,276,133,551,62,935,156,1059,6806,884,1730,8270
non-intervention--0087,10,1378,366,61,828,3188,785,920,708,302,161,600,74,1059,170,1182,7196,978,1977,8023
non-intervention--0087,11,1497,396,67,941,3428,883,1024,753,330,193,644,88,1183,187,1312,7526,1053,2256,7744
non-intervention--0087,12,1623,439,71,1052,3649,954,1146,816,356,232,693,102,1317,205,1424,7796,1141,2531,7469
non-intervention--0087,13,1732,483,78,1181,3868,1042,1239,879,391,262,748,112,1448,229,1534,8045,1220,2827,7173
non-intervention--0087,14,1839,532,85,1308,4059,1132,1341,948,425,297,788,128,1579,244,1651,8232,1313,3107,6893
non-intervention--0087,15,1965,582,92,1413,4232,1232,1443,1012,455,335,830,146,1704,265,1771,8393,1390,3424,6576
non-intervention--0087,16,2089,632,101,1526,4399,1337,1537,1064,493,386,890,169,1836,289,1865,8549,1464,3744,6256
