group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,intervention,count_surviving
intervention--0013,1,104,18,1,37,192,55,49,71,16,5,45,2,43,15,53,772,55,89,1,9911
intervention--0013,2,99,14,0,30,153,54,60,64,23,4,57,5,68,9,68,756,68,118,1,9793
intervention--0013,3,92,29,1,46,238,69,82,56,26,12,48,3,93,13,99,863,60,151,1,9642
intervention--0013,4,105,25,2,47,206,76,70,55,11,9,48,4,82,11,95,822,72,157,1,9485
intervention--0013,5,95,31,2,51,243,80,82,56,24,17,53,4,107,6,84,771,65,157,1,9328
intervention--0013,6,103,24,4,54,214,87,85,58,22,15,41,3,108,20,92,704,62,172,1,9156
intervention--0013,7,99,33,3,58,244,89,74,45,31,16,36,6,130,22,94,630,63,171,1,8985
intervention--0013,8,89,44,4,59,228,76,87,42,23,14,43,10,132,17,98,498,69,184,1,8801
intervention--0013,9,96,42,0,61,212,78,70,44,27,27,36,11,112,15,97,469,68,187,1,8614
intervention--0013,10,109,30,3,78,216,96,89,49,32,25,50,6,140,13,86,422,65,216,1,8398
intervention--0013,11,93,42,2,89,223,95,83,56,28,28,39,19,108,29,91,376,82,256,1,8142
intervention--0013,12,110,38,2,86,220,89,77,63,40,28,41,13,111,12,93,313,77,235,1,7907
intervention--0013,13,110,28,2,80,216,80,93,50,29,33,38,14,126,16,88,268,61,249,1,7658
intervention--0013,14,93,42,2,76,202,101,94,45,23,31,54,7,135,21,80,218,71,274,1,7384
intervention--0013,15,109,55,3,82,217,87,87,54,29,31,38,16,116,25,88,213,84,273,1,7111
intervention--0013,16,126,44,3,83,225,83,99,52,31,26,45,18,125,26,92,178,64,304,1,6807
intervention--0013,17,89,42,4,93,152,89,84,49,39,42,47,18,111,32,103,140,62,277,1,6530
intervention--0013,18,126,50,5,91,162,75,98,54,37,44,40,18,120,23,85,145,67,298,1,6232
intervention--0013,19,133,53,7,92,177,77,90,49,31,48,46,13,115,22,96,113,73,337,1,5895
intervention--0013,20,110,52,4,87,141,76,81,49,35,48,37,11,100,28,92,93,64,355,1,5540
intervention--0013,21,116,55,8,93,165,95,102,58,36,42,57,12,115,30,70,79,82,383,1,5157
intervention--0013,22,87,59,6,102,167,75,103,39,36,56,41,25,119,36,107,72,73,345,1,4812
intervention--0013,23,101,36,5,113,137,76,101,41,33,52,37,20,112,22,83,78,80,335,1,4477
intervention--0013,24,107,54,5,80,126,69,113,47,51,49,34,12,99,29,72,67,62,365,1,4112
intervention--0013,25,89,50,9,99,120,84,89,39,32,45,32,29,94,37,89,44,56,352,1,3760
intervention--0013,26,102,55,2,108,104,74,85,47,32,57,43,21,102,27,100,51,58,341,1,3419
intervention--0013,27,91,46,5,118,121,87,90,44,41,54,40,21,106,26,88,37,48,355,1,3064
intervention--0013,28,106,57,7,100,107,70,85,54,31,51,30,19,96,31,83,31,65,357,1,2707
intervention--0013,29,110,51,5,99,96,103,93,41,25,50,39,19,77,38,85,29,52,309,1,2398
intervention--0013,30,111,60,4,89,88,68,87,42,29,56,43,16,88,17,88,19,63,315,1,2083
