run,year,cumulative cost_non_intervention_by_person,cumulative cost_intervention_by_person,cumulative cost_increment_by_person,cumulative qaly_non_intervention_by_person,cumulative qaly_intervention_by_person,cumulative qaly_increment_by_person,icer
0001,1,6247.0929,6474.6813,227.5884,0.792656,0.79291169,0.0002556899999999587,890095.04
0001,2,12580.3478,13012.6007,432.2529,1.5387910200000001,1.5410414399999999,0.00225041999999994,192076.55
0001,3,19159.6773,19749.6205,589.9432,2.2492773,2.2550893,0.005811999999999898,101504.34
0001,4,25689.3867,26357.6661,668.2794,2.91686176,2.9263873400000002,0.0095255799999999,70156.29
0001,5,32143.9914,32957.3198,813.3284,3.542585,3.5571506800000003,0.01456568000000043,55838.68
0001,6,38627.5387,39518.9389,891.4002,4.13536958,4.15544568,0.02007609999999986,44401.06
0001,7,44987.9539,45954.8008,966.8469,4.68713215,4.71314916,0.026017010000000302,37162.11
0001,8,51311.9619,52343.996,1032.0341,5.20601191,5.24003641,0.03402450000000026,30332.09
0001,9,57547.9361,58615.6155,1067.6794,5.693973580000001,5.73518113,0.04120755000000063,25909.8
0001,10,63558.4136,64645.0122,1086.5986,6.14492481,6.1941635,0.049238690000000494,22067.98
0001,11,69465.2378,70536.8908,1071.653,6.566169629999999,6.62552491,0.059355280000000496,18054.89
0001,12,75136.317,76291.3966,1155.0796,6.957717570000001,7.02897021,0.07125264000000024,16211.04
0001,13,80738.2826,81884.2093,1145.9267,7.321383839999999,7.4052291,0.08384526000000042,13667.16
0001,14,86103.6049,87234.5819,1130.977,7.6575923999999995,7.75394056,0.09634815999999992,11738.44
0001,15,91333.1803,92427.3929,1094.2126,7.9676139500000005,8.07578341,0.1081694599999988,10115.73
0001,16,96308.3366,97403.123,1094.7864,8.2519522,8.37125126,0.11929905999999756,9176.82
0001,17,101060.2982,102196.7539,1136.4557,8.51461657,8.64607932,0.13146274999999732,8644.7
0001,18,105543.4783,106700.0056,1156.5273,8.75226813,8.89574105,0.14347291999999726,8060.94
0001,19,109785.3101,110937.6846,1152.3745,8.96650414,9.12087322,0.15436907999999674,7465.06
0001,20,113739.4206,114881.8203,1142.3997,9.15919862,9.32286176,0.16366313999999693,6980.19
0001,21,117387.5953,118634.046,1246.4507,9.33428503,9.50708408,0.17279904999999562,7213.3
0001,22,120712.8825,121991.885,1279.0025,9.48995064,9.67115557,0.18120492999999696,7058.32
0001,23,123786.16,125135.0098,1348.8498,9.62882383,9.81870968,0.1898858499999973,7103.48
0001,24,126555.6021,127968.2431,1412.641,9.7514447,9.94800354,0.1965588399999964,7186.86
0001,25,129124.3676,130555.0973,1430.7297,9.86054382,10.062288619999999,0.20174479999999603,7091.78
0001,26,131342.4864,132833.8201,1491.3337,9.95365444,10.160646799999999,0.20699235999999654,7204.78
0001,27,133336.0181,134851.4709,1515.4528,10.03470201,10.245995540000001,0.21129352999999682,7172.26
0001,28,135098.2503,136598.9269,1500.6766,10.10507173,10.31924132,0.2141695899999977,7006.95
0001,29,136610.0432,138103.7529,1493.7097,10.16303576,10.38087151,0.21783574999999836,6857.05
