group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0001,226,1683,3090,1602,10000,633,1020,3856,1814,4082,1,2760,3586,2108,6112,9400,211064,3768,1295,3364
intervention--0002,214,1639,3075,1550,10000,562,1029,3807,1742,4079,1,2647,3542,2034,6132,9362,210284,3730,1262,3447
intervention--0003,165,1569,2959,1442,10000,570,971,3843,1631,3899,1,2581,3220,1945,5924,9362,215966,3376,1217,3248
intervention--0004,253,1633,3010,1580,10000,586,1056,3824,1784,4170,1,2728,3625,2122,6197,9432,211449,3620,1323,3429
intervention--0005,217,1556,3072,1498,10000,610,1024,3788,1737,3986,1,2647,3372,2056,6050,9416,213449,3493,1250,3380
intervention--0006,240,1639,3106,1530,10000,623,1054,3891,1764,4287,1,2710,3569,2144,6123,9425,211936,3690,1326,3475
intervention--0007,214,1642,3016,1601,10000,597,1038,3840,1700,4094,1,2691,3412,1991,6064,9428,213050,3608,1280,3362
intervention--0008,210,1610,3087,1543,10000,610,1059,3797,1732,4071,1,2691,3464,2103,6124,9452,213193,3677,1296,3414
intervention--0009,264,1662,3089,1597,10000,647,1050,3936,1764,4215,1,2801,3708,2155,6197,9367,205802,3738,1375,3340
intervention--0010,165,1508,2948,1491,10000,548,992,3771,1617,3818,1,2423,3039,1871,5805,9430,218516,3149,1123,3304
intervention--0011,191,1538,3009,1496,10000,583,973,3815,1655,3937,1,2576,3322,1951,5948,9393,213564,3388,1194,3349
intervention--0012,154,1535,2963,1461,10000,548,988,3782,1732,3796,1,2519,3045,1903,5894,9383,217939,3400,1119,3284
intervention--0013,172,1566,3045,1459,10000,579,988,3821,1699,3952,1,2505,3168,1934,5919,9393,216083,3365,1201,3338
intervention--0014,249,1678,3149,1702,10000,640,1087,3822,1789,4225,1,2748,3805,2164,6243,9449,208214,3987,1392,3508
intervention--0015,171,1517,3058,1411,10000,601,992,3730,1653,3789,1,2508,3151,1876,5925,9450,219530,3294,1157,3275
intervention--0016,161,1556,2912,1468,10000,563,948,3813,1682,3767,1,2477,3165,1898,5875,9377,216043,3437,1171,3165
intervention--0017,173,1513,2963,1441,10000,611,1000,3755,1598,3811,1,2561,3148,1874,5864,9401,215159,3289,1162,3364
intervention--0018,162,1478,2901,1461,10000,589,956,3692,1654,3715,1,2466,2994,1886,5811,9388,216700,3174,1058,3067
intervention--0019,225,1565,3005,1494,10000,571,1016,3768,1736,4064,1,2666,3444,1978,6046,9383,215409,3566,1242,3286
intervention--0020,287,1707,3163,1689,10000,635,1110,3891,1750,4443,1,2892,4063,2201,6377,9419,202936,3969,1457,3458
intervention--0021,212,1578,3003,1501,10000,641,985,3743,1742,3947,1,2617,3364,1979,5945,9404,212255,3608,1198,3295
intervention--0022,172,1523,2991,1480,10000,551,978,3800,1655,3823,1,2541,3130,1877,5855,9438,216517,3371,1154,3258
intervention--0023,277,1707,3058,1709,10000,666,1102,3841,1753,4255,1,2923,3831,2302,6316,9446,204837,4004,1330,3555
intervention--0024,206,1583,3150,1522,10000,602,1041,3799,1719,3970,1,2629,3443,2052,6104,9409,212914,3622,1266,3366
intervention--0025,237,1640,3091,1618,10000,599,1019,3872,1821,4199,1,2717,3566,2081,6079,9395,209274,3729,1352,3526
intervention--0026,195,1566,3008,1475,10000,589,935,3796,1603,3885,1,2534,3169,1911,5925,9465,218674,3465,1163,3286
intervention--0027,210,1652,2960,1569,10000,568,996,3803,1758,3942,1,2675,3413,2025,5997,9420,213096,3621,1220,3365
intervention--0028,218,1547,3009,1462,10000,551,944,3849,1632,4146,1,2658,3361,1891,6045,9417,212588,3506,1275,3264
intervention--0029,264,1676,3023,1638,10000,617,1022,3809,1811,4322,1,2817,3674,2187,6215,9390,207174,3871,1358,3449
intervention--0030,210,1525,3079,1524,10000,587,1001,3902,1725,3937,1,2552,3247,1917,5924,9410,214945,3369,1180,3304
intervention--0031,222,1578,2986,1460,10000,570,983,3830,1730,3837,1,2608,3250,1954,5934,9397,213376,3515,1238,3359
intervention--0032,167,1523,3014,1444,10000,560,1016,3793,1623,3776,1,2482,3079,1910,5830,9407,216914,3271,1114,3290
intervention--0033,236,1684,3046,1538,10000,594,1000,3855,1704,4151,1,2674,3513,2096,6059,9380,212137,3710,1223,3404
intervention--0034,194,1498,2951,1539,10000,569,989,3824,1631,3978,1,2593,3167,1978,5921,9424,215974,3412,1201,3207
intervention--0035,129,1448,2979,1361,10000,531,970,3693,1669,3675,1,2406,2864,1799,5772,9452,222923,3165,1115,3192
intervention--0036,205,1568,3068,1485,10000,594,1004,3791,1680,3994,1,2605,3331,1972,5952,9408,212716,3387,1192,3360
intervention--0037,229,1643,3029,1537,10000,611,1057,3933,1788,4095,1,2657,3344,2050,5956,9426,214665,3511,1199,3518
intervention--0038,230,1565,3099,1584,10000,610,1024,3836,1683,4041,1,2793,3486,2043,6119,9425,212874,3560,1268,3429
intervention--0039,176,1525,2916,1367,10000,597,948,3759,1570,3824,1,2600,3056,1849,5802,9433,218169,3352,1168,3198
intervention--0040,163,1476,3008,1441,10000,541,966,3791,1645,3767,1,2482,3020,1825,5877,9428,219642,3230,1162,3262
