run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,run 11,run 12,run 13,run 14,run 15,run 16,run 17,run 18,run 19,run 20,run 21,run 22,run 23,run 24,run 25,run 26,run 27,run 28,run 29,run 30,run 31,run 32,run 33,run 34,run 35,run 36,run 37,run 38,run 39,run 40,run 41,run 42,run 43,run 44,run 45,run 46,run 47,run 48,run 49,run 50,run 51,run 52,run 53,run 54,run 55,run 56,run 57,run 58,run 59,run 60,run 61,run 62,run 63,run 64,run 65,run 66,run 67,run 68,run 69,run 70,run 71,run 72,run 73,run 74,run 75,run 76,run 77,run 78,run 79,run 80,run 81,run 82,run 83,run 84,run 85,run 86,run 87,run 88,run 89,run 90,run 91,run 92,run 93,run 94,run 95,run 96,run 97,run 98,run 99,run 100
180318.02,190006.18,200095.94,205829.33,180040.26,194737.99,197444.07,182654.33,189262.87,184124.75,191872.1,179263.45,173234.89,197573.71,166079.57,183552.1,182896.98,192109.03,183134.41,201539.47,205251.22,192362.11,193159.62,204309.65,198284.72,177571.34,186957.68,174958.28,205155.18,190024.94,193796.27,179743.34,193041.83,184156.91,170085.77,179878.53,180533.83,190914.45,184466.99,188035.27,210057.61,177963.31,176033.23,192336.74,190552.48,194968.4,181749.85,179438.34,210057.61,169355.66,200883.94,184105.28,194051.49,189998.83,195197.33,186282.18,204840.25,186874.9,200119.37,198698.04,188451.48,180620.35,191171.83,179556.15,191857.24,175657.68,191170.71,196351.99,217438.45,174190.28,170031.89,192041.53,193477.7,182041.1,172067.85,175129.05,183513.57,197536.81,193509.22,196522.23,186810.53,182027.98,190351.27,178360.23,192757.03,186876.46,182998.96,166974.69,197626.99,174253.71,184789.1,200660.97,174219.07,192194.86,183160.08,171499.44,175307.8,196112.16,179489.46,182099.34
8.8077,8.7927,8.8121,8.9276,8.7704,8.8693,8.881,8.7276,8.886,8.6624,8.7804,8.7341,8.821,8.8054,8.8101,8.6341,8.9374,8.8294,8.7466,8.811,8.836,8.8096,8.779,8.7815,8.7695,8.8158,8.7379,8.8432,8.6943,8.7748,8.8209,8.8427,8.7258,8.7489,8.7908,8.8358,8.7366,8.8149,8.7656,8.8294,8.7932,8.8364,8.7664,8.8592,8.8457,8.739,8.696,8.8091,8.7932,8.8735,8.7498,8.7965,8.9016,8.7197,8.7002,8.7419,8.7132,8.7648,8.8042,8.7779,8.8585,8.8443,8.8177,8.8267,8.8524,8.7623,8.764,8.7803,8.8624,8.7607,8.7144,8.7708,8.8243,8.9511,8.8276,8.744,8.852,8.8564,8.6937,8.7862,8.8116,8.8815,8.8156,8.8515,8.8185,8.6977,8.8386,8.7654,8.8093,8.7245,8.7459,8.848,8.7971,8.8177,8.7028,8.7545,8.8009,8.6732,8.8102,8.8786
180318.02,190006.18,200095.94,205829.33,180040.26,194737.99,197444.07,182654.33,189262.87,184124.75,191872.1,179263.45,173234.89,197573.71,166079.57,183552.1,182896.98,192109.03,183134.41,201539.47,205251.22,192362.11,193159.62,204309.65,198284.72,177571.34,186957.68,174958.28,205155.18,190024.94,193796.27,179743.34,193041.83,184156.91,170085.77,179878.53,180533.83,190914.45,184466.99,188035.27,210057.61,177963.31,176033.23,192336.74,190552.48,194968.4,181749.85,179438.34,210057.61,169355.66,200883.94,184105.28,194051.49,189998.83,195197.33,186282.18,204840.25,186874.9,200119.37,198698.04,188451.48,180620.35,191171.83,179556.15,191857.24,175657.68,191170.71,196351.99,217438.45,174190.28,170031.89,192041.53,193477.7,182041.1,172067.85,175129.05,183513.57,197536.81,193509.22,196522.23,186810.53,182027.98,190351.27,178360.23,192757.03,186876.46,182998.96,166974.69,197626.99,174253.71,184789.1,200660.97,174219.07,192194.86,183160.08,171499.44,175307.8,196112.16,179489.46,182099.34
8.8077,8.7927,8.8121,8.9276,8.7704,8.8693,8.881,8.7276,8.886,8.6624,8.7804,8.7341,8.821,8.8054,8.8101,8.6341,8.9374,8.8294,8.7466,8.811,8.836,8.8096,8.779,8.7815,8.7695,8.8158,8.7379,8.8432,8.6943,8.7748,8.8209,8.8427,8.7258,8.7489,8.7908,8.8358,8.7366,8.8149,8.7656,8.8294,8.7932,8.8364,8.7664,8.8592,8.8457,8.739,8.696,8.8091,8.7932,8.8735,8.7498,8.7965,8.9016,8.7197,8.7002,8.7419,8.7132,8.7648,8.8042,8.7779,8.8585,8.8443,8.8177,8.8267,8.8524,8.7623,8.764,8.7803,8.8624,8.7607,8.7144,8.7708,8.8243,8.9511,8.8276,8.744,8.852,8.8564,8.6937,8.7862,8.8116,8.8815,8.8156,8.8515,8.8185,8.6977,8.8386,8.7654,8.8093,8.7245,8.7459,8.848,8.7971,8.8177,8.7028,8.7545,8.8009,8.6732,8.8102,8.8786
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0722,19.8143,20.1327,20.1404,19.9743,20.0069,20.1165,19.8961,19.996,19.6139,19.8616,19.8784,20.0724,19.9056,19.9951,19.6455,20.1535,20.0418,19.7862,19.9556,20.193,19.9632,19.8257,19.9273,20.0745,19.864,19.9868,20.0549,19.736,19.9669,19.9309,19.8921,19.9528,19.7735,19.9101,19.9957,19.9133,19.9859,19.7615,19.9984,19.9918,19.8909,20.007,20.0396,20.134,19.8538,19.8521,19.9681,19.9918,20.088,19.9136,20.0231,20.2226,19.9438,19.9159,19.7498,19.9659,19.8233,20.1343,19.8066,19.9405,20.0496,20.0598,19.9394,19.9392,19.8025,19.825,19.9993,19.9174,19.931,19.675,19.9931,19.9706,20.2293,19.8986,19.6675,20.1062,20.1702,19.6541,19.897,20.0088,20.236,20.0994,20.1968,19.8283,19.8661,20.0251,20.0661,19.9884,19.936,19.7517,20.0821,19.9865,19.9797,19.7482,19.8914,19.9292,19.8396,20.0226,20.0956
20.0722,19.8143,20.1327,20.1404,19.9743,20.0069,20.1165,19.8961,19.996,19.6139,19.8616,19.8784,20.0724,19.9056,19.9951,19.6455,20.1535,20.0418,19.7862,19.9556,20.193,19.9632,19.8257,19.9273,20.0745,19.864,19.9868,20.0549,19.736,19.9669,19.9309,19.8921,19.9528,19.7735,19.9101,19.9957,19.9133,19.9859,19.7615,19.9984,19.9918,19.8909,20.007,20.0396,20.134,19.8538,19.8521,19.9681,19.9918,20.088,19.9136,20.0231,20.2226,19.9438,19.9159,19.7498,19.9659,19.8233,20.1343,19.8066,19.9405,20.0496,20.0598,19.9394,19.9392,19.8025,19.825,19.9993,19.9174,19.931,19.675,19.9931,19.9706,20.2293,19.8986,19.6675,20.1062,20.1702,19.6541,19.897,20.0088,20.236,20.0994,20.1968,19.8283,19.8661,20.0251,20.0661,19.9884,19.936,19.7517,20.0821,19.9865,19.9797,19.7482,19.8914,19.9292,19.8396,20.0226,20.0956
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
