run,Total cost non-intervention,Treatment costs - non-intervention,Complication costs - non-intervention,Intervention costs - non-intervention,QALY non-intervention,Total cost intervention,Treatment costs - intervention,Complication costs - intervention,Intervention costs - intervention,QALY intervention,Cost increment,QALY increment,ICER,ICER: mean inc Cost / mean inc QALY,Remaining LY non-intervention,Remaining LY intervention,LY increment
0001,180318.02,59192.4,121125.62,0.0,8.8077,180318.02,59192.4,121125.62,0.0,8.8077,0.0,0.0,0.0,,20.0722,20.0722,0.0
0002,190006.18,69540.81,120465.38,0.0,8.7927,190006.18,69540.81,120465.38,0.0,8.7927,0.0,0.0,0.0,,19.8143,19.8143,0.0
0003,200095.94,68771.68,131324.26,0.0,8.8121,200095.94,68771.68,131324.26,0.0,8.8121,0.0,0.0,0.0,,20.1327,20.1327,0.0
0004,205829.33,75425.77,130403.56,0.0,8.9276,205829.33,75425.77,130403.56,0.0,8.9276,0.0,0.0,0.0,,20.1404,20.1404,0.0
0005,180040.26,60391.99,119648.26,0.0,8.7704,180040.26,60391.99,119648.26,0.0,8.7704,0.0,0.0,0.0,,19.9743,19.9743,0.0
0006,194737.99,75571.98,119166.01,0.0,8.8693,194737.99,75571.98,119166.01,0.0,8.8693,0.0,0.0,0.0,,20.0069,20.0069,0.0
0007,197444.07,67672.0,129772.07,0.0,8.881,197444.07,67672.0,129772.07,0.0,8.881,0.0,0.0,0.0,,20.1165,20.1165,0.0
0008,182654.33,65426.31,117228.01,0.0,8.7276,182654.33,65426.31,117228.01,0.0,8.7276,0.0,0.0,0.0,,19.8961,19.8961,0.0
0009,189262.87,75533.48,113729.39,0.0,8.886,189262.87,75533.48,113729.39,0.0,8.886,0.0,0.0,0.0,,19.996,19.996,0.0
0010,184124.75,59631.92,124492.84,0.0,8.6624,184124.75,59631.92,124492.84,0.0,8.6624,0.0,0.0,0.0,,19.6139,19.6139,0.0
0011,191872.1,63776.75,128095.35,0.0,8.7804,191872.1,63776.75,128095.35,0.0,8.7804,0.0,0.0,0.0,,19.8616,19.8616,0.0
0012,179263.45,62720.26,116543.2,0.0,8.7341,179263.45,62720.26,116543.2,0.0,8.7341,0.0,0.0,0.0,,19.8784,19.8784,0.0
0013,173234.89,53863.06,119371.83,0.0,8.821,173234.89,53863.06,119371.83,0.0,8.821,0.0,0.0,0.0,,20.0724,20.0724,0.0
0014,197573.71,74261.39,123312.32,0.0,8.8054,197573.71,74261.39,123312.32,0.0,8.8054,0.0,0.0,0.0,,19.9056,19.9056,0.0
0015,166079.57,53023.77,113055.79,0.0,8.8101,166079.57,53023.77,113055.79,0.0,8.8101,0.0,0.0,0.0,,19.9951,19.9951,0.0
0016,183552.1,70165.97,113386.13,0.0,8.6341,183552.1,70165.97,113386.13,0.0,8.6341,0.0,0.0,0.0,,19.6455,19.6455,0.0
0017,182896.98,66550.89,116346.09,0.0,8.9374,182896.98,66550.89,116346.09,0.0,8.9374,0.0,0.0,0.0,,20.1535,20.1535,0.0
0018,192109.03,75039.74,117069.29,0.0,8.8294,192109.03,75039.74,117069.29,0.0,8.8294,0.0,0.0,0.0,,20.0418,20.0418,0.0
0019,183134.41,66552.9,116581.51,0.0,8.7466,183134.41,66552.9,116581.51,0.0,8.7466,0.0,0.0,0.0,,19.7862,19.7862,0.0
0020,201539.47,71338.5,130200.97,0.0,8.811,201539.47,71338.5,130200.97,0.0,8.811,0.0,0.0,0.0,,19.9556,19.9556,0.0
0021,205251.22,80389.64,124861.59,0.0,8.836,205251.22,80389.64,124861.59,0.0,8.836,0.0,0.0,0.0,,20.193,20.193,0.0
0022,192362.11,69936.9,122425.21,0.0,8.8096,192362.11,69936.9,122425.21,0.0,8.8096,0.0,0.0,0.0,,19.9632,19.9632,0.0
0023,193159.62,76859.25,116300.37,0.0,8.779,193159.62,76859.25,116300.37,0.0,8.779,0.0,0.0,0.0,,19.8257,19.8257,0.0
0024,204309.65,76717.26,127592.39,0.0,8.7815,204309.65,76717.26,127592.39,0.0,8.7815,0.0,0.0,0.0,,19.9273,19.9273,0.0
0025,198284.72,86603.21,111681.51,0.0,8.7695,198284.72,86603.21,111681.51,0.0,8.7695,0.0,0.0,0.0,,20.0745,20.0745,0.0
0026,177571.34,59662.87,117908.47,0.0,8.8158,177571.34,59662.87,117908.47,0.0,8.8158,0.0,0.0,0.0,,19.864,19.864,0.0
0027,186957.68,69916.95,117040.73,0.0,8.7379,186957.68,69916.95,117040.73,0.0,8.7379,0.0,0.0,0.0,,19.9868,19.9868,0.0
0028,174958.28,57938.85,117019.44,0.0,8.8432,174958.28,57938.85,117019.44,0.0,8.8432,0.0,0.0,0.0,,20.0549,20.0549,0.0
0029,205155.18,76942.31,128212.87,0.0,8.6943,205155.18,76942.31,128212.87,0.0,8.6943,0.0,0.0,0.0,,19.736,19.736,0.0
0030,190024.94,64628.15,125396.79,0.0,8.7748,190024.94,64628.15,125396.79,0.0,8.7748,0.0,0.0,0.0,,19.9669,19.9669,0.0
0031,193796.27,66059.84,127736.44,0.0,8.8209,193796.27,66059.84,127736.44,0.0,8.8209,0.0,0.0,0.0,,19.9309,19.9309,0.0
0032,179743.34,59288.92,120454.42,0.0,8.8427,179743.34,59288.92,120454.42,0.0,8.8427,0.0,0.0,0.0,,19.8921,19.8921,0.0
0033,193041.83,74535.34,118506.48,0.0,8.7258,193041.83,74535.34,118506.48,0.0,8.7258,0.0,0.0,0.0,,19.9528,19.9528,0.0
0034,184156.91,65083.55,119073.36,0.0,8.7489,184156.91,65083.55,119073.36,0.0,8.7489,0.0,0.0,0.0,,19.7735,19.7735,0.0
0035,170085.77,51248.38,118837.39,0.0,8.7908,170085.77,51248.38,118837.39,0.0,8.7908,0.0,0.0,0.0,,19.9101,19.9101,0.0
0036,179878.53,66616.92,113261.61,0.0,8.8358,179878.53,66616.92,113261.61,0.0,8.8358,0.0,0.0,0.0,,19.9957,19.9957,0.0
0037,180533.83,61698.5,118835.34,0.0,8.7366,180533.83,61698.5,118835.34,0.0,8.7366,0.0,0.0,0.0,,19.9133,19.9133,0.0
0038,190914.45,65757.57,125156.89,0.0,8.8149,190914.45,65757.57,125156.89,0.0,8.8149,0.0,0.0,0.0,,19.9859,19.9859,0.0
0039,184466.99,64845.68,119621.3,0.0,8.7656,184466.99,64845.68,119621.3,0.0,8.7656,0.0,0.0,0.0,,19.7615,19.7615,0.0
0040,188035.27,70518.31,117516.96,0.0,8.8294,188035.27,70518.31,117516.96,0.0,8.8294,0.0,0.0,0.0,,19.9984,19.9984,0.0
0041,210057.61,79954.81,130102.8,0.0,8.7932,210057.61,79954.81,130102.8,0.0,8.7932,0.0,0.0,0.0,,19.9918,19.9918,0.0
0042,177963.31,59161.94,118801.37,0.0,8.8364,177963.31,59161.94,118801.37,0.0,8.8364,0.0,0.0,0.0,,19.8909,19.8909,0.0
0043,176033.23,58670.47,117362.76,0.0,8.7664,176033.23,58670.47,117362.76,0.0,8.7664,0.0,0.0,0.0,,20.007,20.007,0.0
0044,192336.74,72910.13,119426.6,0.0,8.8592,192336.74,72910.13,119426.6,0.0,8.8592,0.0,0.0,0.0,,20.0396,20.0396,0.0
0045,190552.48,67351.22,123201.25,0.0,8.8457,190552.48,67351.22,123201.25,0.0,8.8457,0.0,0.0,0.0,,20.134,20.134,0.0
0046,194968.4,75643.17,119325.23,0.0,8.739,194968.4,75643.17,119325.23,0.0,8.739,0.0,0.0,0.0,,19.8538,19.8538,0.0
0047,181749.85,64168.14,117581.71,0.0,8.696,181749.85,64168.14,117581.71,0.0,8.696,0.0,0.0,0.0,,19.8521,19.8521,0.0
0048,179438.34,61313.29,118125.05,0.0,8.8091,179438.34,61313.29,118125.05,0.0,8.8091,0.0,0.0,0.0,,19.9681,19.9681,0.0
0049,210057.61,79954.81,130102.8,0.0,8.7932,210057.61,79954.81,130102.8,0.0,8.7932,0.0,0.0,0.0,,19.9918,19.9918,0.0
0050,169355.66,48853.64,120502.02,0.0,8.8735,169355.66,48853.64,120502.02,0.0,8.8735,0.0,0.0,0.0,,20.088,20.088,0.0
0051,200883.94,79781.57,121102.37,0.0,8.7498,200883.94,79781.57,121102.37,0.0,8.7498,0.0,0.0,0.0,,19.9136,19.9136,0.0
0052,184105.28,66699.99,117405.29,0.0,8.7965,184105.28,66699.99,117405.29,0.0,8.7965,0.0,0.0,0.0,,20.0231,20.0231,0.0
0053,194051.49,69821.64,124229.85,0.0,8.9016,194051.49,69821.64,124229.85,0.0,8.9016,0.0,0.0,0.0,,20.2226,20.2226,0.0
0054,189998.83,74259.38,115739.45,0.0,8.7197,189998.83,74259.38,115739.45,0.0,8.7197,0.0,0.0,0.0,,19.9438,19.9438,0.0
0055,195197.33,71934.28,123263.05,0.0,8.7002,195197.33,71934.28,123263.05,0.0,8.7002,0.0,0.0,0.0,,19.9159,19.9159,0.0
0056,186282.18,70701.69,115580.48,0.0,8.7419,186282.18,70701.69,115580.48,0.0,8.7419,0.0,0.0,0.0,,19.7498,19.7498,0.0
0057,204840.25,82681.62,122158.63,0.0,8.7132,204840.25,82681.62,122158.63,0.0,8.7132,0.0,0.0,0.0,,19.9659,19.9659,0.0
0058,186874.9,66770.03,120104.87,0.0,8.7648,186874.9,66770.03,120104.87,0.0,8.7648,0.0,0.0,0.0,,19.8233,19.8233,0.0
0059,200119.37,78703.86,121415.5,0.0,8.8042,200119.37,78703.86,121415.5,0.0,8.8042,0.0,0.0,0.0,,20.1343,20.1343,0.0
0060,198698.04,84969.76,113728.29,0.0,8.7779,198698.04,84969.76,113728.29,0.0,8.7779,0.0,0.0,0.0,,19.8066,19.8066,0.0
0061,188451.48,72319.53,116131.95,0.0,8.8585,188451.48,72319.53,116131.95,0.0,8.8585,0.0,0.0,0.0,,19.9405,19.9405,0.0
0062,180620.35,59700.69,120919.66,0.0,8.8443,180620.35,59700.69,120919.66,0.0,8.8443,0.0,0.0,0.0,,20.0496,20.0496,0.0
0063,191171.83,70552.98,120618.85,0.0,8.8177,191171.83,70552.98,120618.85,0.0,8.8177,0.0,0.0,0.0,,20.0598,20.0598,0.0
