group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
intervention--0027,1,204,34,3,47,275,75,65,74,31,5,61,6,133,14,131,1189,161,231,9769
intervention--0027,2,388,87,9,125,601,194,151,147,72,18,116,14,297,37,294,2334,378,436,9564
intervention--0027,3,547,149,11,185,904,309,260,222,97,42,175,21,464,54,421,3379,539,677,9323
intervention--0027,4,700,211,17,273,1196,414,357,280,131,77,238,29,639,80,548,4268,685,924,9076
intervention--0027,5,844,277,22,389,1452,529,466,349,156,109,293,42,822,112,663,4971,827,1219,8781
intervention--0027,6,994,344,30,502,1739,657,590,414,184,159,348,56,1004,143,786,5585,952,1445,8555
intervention--0027,7,1156,420,42,630,2020,770,683,488,218,210,395,69,1187,173,892,6086,1096,1683,8317
intervention--0027,8,1285,498,53,735,2291,898,810,549,267,264,445,87,1362,200,1003,6529,1254,1953,8047
intervention--0027,9,1422,567,70,862,2546,1027,925,613,302,311,485,102,1505,243,1128,6902,1391,2192,7808
intervention--0027,10,1562,637,79,1015,2805,1121,1041,677,338,359,527,126,1640,276,1238,7202,1544,2461,7539
intervention--0027,11,1684,716,86,1145,3016,1242,1142,747,381,438,572,144,1783,321,1347,7443,1660,2739,7261
intervention--0027,12,1816,800,95,1318,3214,1351,1243,809,419,507,611,166,1916,375,1435,7643,1783,3037,6963
intervention--0027,13,1960,881,108,1473,3403,1464,1349,857,453,571,650,186,2070,426,1527,7826,1897,3339,6661
intervention--0027,14,2095,951,118,1627,3599,1562,1432,907,481,640,693,219,2198,494,1609,7945,1994,3652,6348
intervention--0027,15,2216,1034,128,1802,3765,1668,1544,958,513,707,741,243,2304,546,1708,8073,2099,3981,6019
intervention--0027,16,2344,1105,141,1944,3910,1751,1639,1014,548,772,778,269,2395,607,1801,8172,2215,4294,5706
intervention--0027,17,2466,1183,159,2079,4042,1863,1743,1062,582,830,825,298,2484,669,1880,8251,2315,4567,5433
intervention--0027,18,2566,1242,170,2232,4165,1960,1834,1123,612,895,860,323,2565,722,1969,8326,2377,4867,5133
intervention--0027,19,2667,1310,182,2363,4293,2040,1917,1174,642,976,894,351,2644,775,2052,8383,2461,5156,4844
intervention--0027,20,2774,1368,193,2501,4391,2119,1997,1213,673,1045,922,386,2728,849,2121,8433,2533,5453,4547
intervention--0027,21,2884,1455,206,2620,4491,2174,2092,1253,703,1101,953,418,2792,915,2194,8484,2622,5755,4245
intervention--0027,22,2949,1505,220,2742,4586,2234,2163,1287,720,1171,993,454,2867,959,2256,8516,2690,6041,3959
intervention--0027,23,3043,1566,231,2872,4658,2288,2234,1318,737,1221,1022,492,2925,1018,2316,8537,2748,6294,3706
intervention--0027,24,3119,1616,244,2990,4736,2348,2307,1353,759,1282,1041,524,2985,1080,2365,8561,2811,6598,3402
intervention--0027,25,3198,1671,255,3078,4789,2402,2361,1382,779,1336,1052,555,3036,1128,2417,8588,2868,6840,3160
intervention--0027,26,3252,1705,267,3159,4847,2454,2414,1416,801,1385,1073,589,3064,1178,2458,8601,2911,7090,2910
intervention--0027,27,3305,1745,275,3246,4890,2492,2468,1436,819,1441,1088,615,3105,1217,2497,8617,2945,7338,2662
intervention--0027,28,3349,1778,283,3311,4936,2537,2510,1453,842,1490,1107,644,3146,1257,2532,8628,2983,7566,2434
intervention--0027,29,3409,1815,295,3359,4982,2574,2569,1479,853,1527,1126,666,3177,1290,2570,8642,3024,7811,2189
intervention--0027,30,3441,1842,301,3422,5010,2607,2610,1499,869,1558,1143,688,3206,1331,2605,8645,3055,8035,1965
intervention--0027,31,3477,1871,310,3471,5041,2637,2651,1519,878,1585,1160,719,3234,1361,2632,8651,3085,8236,1764
intervention--0027,32,3531,1900,314,3526,5071,2662,2691,1534,884,1618,1171,738,3262,1391,2656,8659,3105,8440,1560
intervention--0027,33,3561,1929,321,3564,5092,2681,2725,1555,893,1635,1177,761,3280,1416,2676,8662,3132,8618,1382
intervention--0027,34,3589,1950,326,3613,5107,2695,2754,1564,903,1658,1189,773,3306,1448,2690,8665,3153,8763,1237
