run,year,cumulative cost_non_intervention_by_person,cumulative cost_intervention_by_person,cumulative cost_increment_by_person,cumulative qaly_non_intervention_by_person,cumulative qaly_intervention_by_person,cumulative qaly_increment_by_person,icer
0001,1,6536.8292,6536.8292,0.0,0.71518507,0.71518507,0.0,0
0001,2,13459.8785,13459.8785,0.0,1.38405689,1.38405689,0.0,0
0001,3,20367.6991,20367.6991,0.0,2.0125269599999998,2.0125269599999998,0.0,0
0001,4,27545.1057,27545.1057,0.0,2.59749453,2.59749453,0.0,0
0001,5,34583.0152,34583.0152,0.0,3.14043816,3.14043816,0.0,0
0001,6,41676.4452,41676.4452,0.0,3.6476322999999997,3.6476322999999997,0.0,0
0001,7,48690.0622,48690.0622,0.0,4.1161607799999995,4.1161607799999995,0.0,0
0001,8,55728.5884,55728.5884,0.0,4.55475631,4.55475631,0.0,0
0001,9,62770.7381,62770.7381,0.0,4.96300188,4.96300188,0.0,0
0001,10,69670.2639,69670.2639,0.0,5.33788667,5.33788667,0.0,0
0001,11,76482.8504,76482.8504,0.0,5.68419874,5.68419874,0.0,0
0001,12,83068.2911,83068.2911,0.0,6.00302869,6.00302869,0.0,0
0001,13,89658.9228,89658.9228,0.0,6.2967107,6.2967107,0.0,0
0001,14,96039.9664,96039.9664,0.0,6.5660992899999995,6.5660992899999995,0.0,0
0001,15,102120.136,102120.136,0.0,6.812511440000001,6.812511440000001,0.0,0
0001,16,107946.5939,107946.5939,0.0,7.03573159,7.03573159,0.0,0
0001,17,113737.3281,113737.3281,0.0,7.243139200000001,7.243139200000001,0.0,0
0001,18,119191.6479,119191.6479,0.0,7.42948528,7.42948528,0.0,0
0001,19,124395.7568,124395.7568,0.0,7.597189200000001,7.597189200000001,0.0,0
0001,20,129379.4313,129379.4313,0.0,7.747218709999999,7.747218709999999,0.0,0
0001,21,134197.101,134197.101,0.0,7.882958070000001,7.882958070000001,0.0,0
0001,22,138751.2674,138751.2674,0.0,8.00332479,8.00332479,0.0,0
