group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,intervention,count_surviving
intervention--0001,1,119,22,2,42,196,32,62,41,20,5,53,4,45,14,75,874,76,118,1,9882
intervention--0001,2,112,26,0,36,178,62,63,74,25,3,57,1,46,12,79,737,80,127,1,9755
intervention--0001,3,91,29,0,51,236,62,74,55,22,14,40,7,97,15,106,884,65,146,1,9609
intervention--0001,4,90,29,1,47,257,65,57,58,37,6,47,1,75,13,104,827,70,146,1,9463
intervention--0001,5,104,36,2,47,292,85,86,55,32,15,59,9,96,14,104,763,81,157,1,9306
intervention--0001,6,94,28,5,59,229,81,86,50,26,15,59,6,116,17,110,659,61,203,1,9103
intervention--0001,7,123,37,3,65,240,68,88,53,21,15,47,11,121,10,93,604,71,190,1,8913
intervention--0001,8,107,53,3,72,254,92,82,71,26,24,47,8,112,20,96,521,70,211,1,8702
intervention--0001,9,121,51,3,72,235,82,92,49,32,23,44,4,122,23,91,473,76,200,1,8502
intervention--0001,10,120,37,1,68,240,92,82,46,32,33,52,9,137,15,94,412,82,230,1,8272
intervention--0001,11,108,44,3,68,226,94,94,47,30,34,37,12,122,27,105,375,73,208,1,8064
intervention--0001,12,114,40,2,87,204,81,82,49,29,29,44,10,135,29,95,281,64,203,1,7861
intervention--0001,13,99,47,1,89,209,100,90,48,25,37,44,17,141,19,110,254,70,268,1,7593
intervention--0001,14,86,46,4,76,171,82,93,57,22,36,49,13,113,22,85,242,81,269,1,7324
intervention--0001,15,93,48,5,93,203,82,76,63,31,34,50,20,121,23,99,203,59,294,1,7030
intervention--0001,16,105,42,0,81,193,97,100,53,24,45,49,11,106,26,93,158,77,296,1,6734
intervention--0001,17,93,39,3,114,175,89,91,47,27,40,42,18,129,26,87,162,69,313,1,6421
intervention--0001,18,99,41,8,100,175,91,87,44,29,26,44,21,111,25,92,126,71,350,1,6071
intervention--0001,19,109,55,2,103,153,84,87,48,29,38,54,18,116,28,94,121,57,326,1,5745
intervention--0001,20,106,45,5,90,147,105,100,56,38,46,30,17,117,29,91,97,75,345,1,5400
intervention--0001,21,106,51,7,106,166,76,98,63,31,33,47,17,122,27,98,80,73,342,1,5058
intervention--0001,22,108,52,6,110,167,89,95,48,36,34,36,13,120,29,78,77,77,312,1,4746
intervention--0001,23,94,52,9,110,143,92,92,52,38,53,50,17,115,26,69,66,54,335,1,4411
intervention--0001,24,87,60,5,88,119,86,92,56,32,40,38,19,85,19,94,62,67,373,1,4038
intervention--0001,25,98,63,3,105,127,97,90,58,31,51,30,17,102,33,77,37,52,349,1,3689
intervention--0001,26,91,46,3,96,121,79,85,54,28,47,27,19,77,31,79,43,84,343,1,3346
intervention--0001,27,94,40,4,97,99,61,91,47,33,37,39,26,102,28,98,49,58,326,1,3020
intervention--0001,28,98,61,9,84,68,67,111,48,31,54,38,21,95,33,82,34,63,317,1,2703
intervention--0001,29,95,51,8,101,94,77,89,64,32,54,44,13,86,28,89,40,59,299,1,2404
intervention--0001,30,92,48,6,89,92,55,82,40,23,46,41,19,83,34,103,29,57,288,1,2116
intervention--0001,31,111,50,8,88,78,63,78,53,36,56,27,21,86,36,106,26,61,289,1,1827
intervention--0001,32,83,65,11,102,79,68,65,45,38,56,37,17,74,42,70,16,52,239,1,1588
intervention--0001,33,87,53,9,102,82,72,76,35,31,69,32,18,92,26,68,22,56,271,1,1317
intervention--0001,34,79,47,6,90,61,69,85,40,33,62,32,18,83,30,94,15,53,230,1,1087
intervention--0001,35,85,50,7,88,54,80,77,30,26,63,34,19,79,48,83,8,65,170,1,917
intervention--0001,36,79,51,10,92,55,71,76,51,35,53,35,26,45,30,92,11,55,153,1,764
intervention--0001,37,103,50,8,87,45,53,79,50,26,61,24,23,63,43,70,8,45,150,1,614
intervention--0001,38,86,52,4,81,59,52,78,43,23,56,33,22,59,37,95,6,62,108,1,506
intervention--0001,39,87,38,7,98,57,46,69,42,35,65,29,15,58,39,64,10,40,506,1,0
non-intervention--0001,1,141,34,2,53,339,38,71,60,35,5,69,4,52,14,107,1043,107,161,0,9839
non-intervention--0001,2,158,31,1,50,315,74,82,90,31,6,68,2,53,12,102,853,111,149,0,9690
