group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
non-intervention--0001,1,191,31,3,47,285,90,81,86,32,3,56,5,100,10,115,1084,166,202,9798
non-intervention--0001,2,367,88,11,116,587,210,185,179,66,21,133,10,251,25,241,2264,320,456,9544
non-intervention--0001,3,519,151,20,193,907,334,283,242,104,42,201,19,401,47,356,3270,492,685,9315
non-intervention--0001,4,691,216,31,289,1209,470,394,319,144,78,257,34,589,71,475,4191,638,931,9069
non-intervention--0001,5,850,290,39,397,1477,608,498,376,178,119,310,46,767,98,591,4909,776,1204,8796
non-intervention--0001,6,1017,362,45,500,1745,745,597,438,218,168,361,62,949,120,697,5550,929,1457,8543
non-intervention--0001,7,1158,452,51,625,2036,879,706,494,255,209,411,81,1130,150,807,6097,1084,1683,8317
non-intervention--0001,8,1322,530,66,768,2286,1000,830,549,290,255,451,95,1303,178,915,6553,1244,1944,8056
non-intervention--0001,9,1476,619,75,899,2560,1127,928,609,323,316,504,124,1445,221,1017,6894,1389,2189,7811
non-intervention--0001,10,1627,708,86,1051,2817,1250,1031,663,355,377,545,142,1621,272,1118,7195,1527,2476,7524
non-intervention--0001,11,1753,792,98,1197,3052,1359,1155,730,394,434,595,166,1760,309,1224,7448,1653,2776,7224
non-intervention--0001,12,1889,884,114,1342,3255,1457,1252,775,420,505,637,190,1895,360,1325,7669,1777,3044,6956
non-intervention--0001,13,2013,955,125,1498,3455,1572,1350,840,452,568,679,228,2023,422,1423,7849,1880,3327,6673
non-intervention--0001,14,2124,1032,139,1656,3638,1676,1459,903,484,644,727,249,2156,489,1508,7985,1984,3612,6388
non-intervention--0001,15,2232,1101,147,1831,3826,1774,1541,943,514,711,761,280,2272,555,1594,8095,2072,3941,6059
non-intervention--0001,16,2346,1166,157,1979,3981,1879,1645,987,552,765,805,304,2383,614,1683,8203,2170,4191,5809
non-intervention--0001,17,2481,1241,166,2128,4111,1959,1748,1032,580,852,848,342,2472,670,1755,8285,2273,4520,5480
non-intervention--0001,18,2608,1304,182,2288,4235,2048,1836,1075,606,902,869,374,2563,723,1839,8361,2340,4817,5183
non-intervention--0001,19,2699,1362,190,2413,4362,2125,1911,1124,630,977,900,411,2648,776,1895,8414,2430,5118,4882
non-intervention--0001,20,2789,1418,199,2537,4472,2217,1995,1175,655,1029,946,444,2730,832,1952,8446,2500,5428,4572
non-intervention--0001,21,2862,1481,209,2666,4580,2282,2082,1216,674,1092,971,482,2796,885,2021,8493,2563,5714,4286
non-intervention--0001,22,2940,1526,219,2805,4647,2346,2169,1261,702,1149,1003,511,2870,942,2086,8533,2625,6002,3998
non-intervention--0001,23,3026,1574,232,2906,4731,2406,2228,1281,731,1198,1035,548,2931,1002,2134,8566,2688,6290,3710
non-intervention--0001,24,3101,1625,241,3015,4795,2462,2296,1308,746,1239,1057,581,2977,1046,2185,8597,2743,6542,3458
non-intervention--0001,25,3168,1664,253,3111,4845,2509,2353,1331,759,1279,1071,612,3030,1094,2223,8614,2803,6784,3216
non-intervention--0001,26,3232,1720,258,3169,4901,2566,2419,1356,779,1325,1089,644,3099,1139,2266,8631,2828,7044,2956
non-intervention--0001,27,3296,1755,270,3240,4959,2605,2468,1372,786,1379,1100,678,3140,1185,2305,8652,2865,7297,2703
non-intervention--0001,28,3343,1792,285,3320,5003,2645,2506,1399,800,1417,1116,704,3175,1225,2332,8667,2899,7561,2439
non-intervention--0001,29,3386,1829,292,3386,5040,2676,2556,1414,814,1459,1137,732,3203,1263,2356,8682,2938,7762,2238
non-intervention--0001,30,3432,1865,304,3441,5067,2703,2593,1428,827,1492,1144,756,3234,1306,2384,8692,2968,7960,2040
non-intervention--0001,31,3473,1892,314,3501,5088,2728,2639,1445,838,1525,1159,786,3267,1340,2406,8701,3000,8175,1825
non-intervention--0001,32,3504,1913,320,3548,5113,2757,2680,1458,845,1553,1165,804,3293,1368,2425,8703,3033,8366,1634
non-intervention--0001,33,3541,1933,327,3582,5141,2778,2708,1476,857,1579,1175,823,3315,1407,2444,8708,3059,8544,1456
non-intervention--0001,34,3568,1953,335,3615,5158,2802,2736,1490,868,1606,1188,832,3329,1430,2465,8712,3080,8729,1271
non-intervention--0001,35,3590,1978,342,3643,5169,2821,2770,1497,875,1629,1193,844,3347,1455,2482,8713,3096,8897,1103
non-intervention--0001,36,3614,1991,346,3666,5180,2831,2795,1500,879,1653,1200,859,3362,1473,2494,8716,3111,9027,973
non-intervention--0001,37,3636,2001,351,3698,5199,2843,2818,1507,887,1667,1206,874,3374,1490,2508,8717,3124,9144,856
non-intervention--0001,38,3654,2009,353,3713,5206,2857,2834,1515,892,1679,1213,888,3380,1513,2515,8719,3135,9246,754
non-intervention--0001,39,3671,2018,358,3738,5222,2869,2845,1522,895,1684,1216,895,3388,1533,2526,8721,3143,9350,650
non-intervention--0001,40,3682,2030,360,3748,5231,2881,2863,1524,899,1696,1218,908,3397,1544,2535,8722,3151,9438,562
non-intervention--0001,41,3693,2042,365,3760,5237,2893,2868,1527,904,1701,1220,916,3403,1559,2543,8723,3161,9529,471
non-intervention--0001,42,3700,2049,367,3769,5241,2900,2879,1531,905,1712,1223,921,3413,1572,2549,8723,3168,9608,392
non-intervention--0001,43,3709,2056,370,3781,5243,2910,2885,1532,906,1722,1226,926,3415,1579,2551,8723,3172,9667,333
non-intervention--0001,44,3713,2060,370,3788,5243,2914,2891,1535,909,1726,1228,931,3419,1585,2558,8723,3178,9728,272
non-intervention--0001,45,3715,2062,371,3792,5249,2917,2893,1537,910,1727,1231,937,3423,1591,2560,8724,3179,9779,221
non-intervention--0001,46,3720,2064,371,3797,5252,2918,2901,1537,910,1730,1232,942,3425,1596,2563,8724,3182,9816,184
non-intervention--0001,47,3720,2067,371,3803,5253,2919,2908,1538,911,1732,1233,942,3429,1598,2564,8725,3186,9859,141
non-intervention--0001,48,3721,2068,372,3803,5255,2919,2911,1539,911,1733,1233,942,3434,1600,2564,8725,3188,9881,119
non-intervention--0001,49,3722,2068,373,3804,5256,2919,2913,1539,912,1734,1233,946,3434,1603,2566,8725,3189,9908,92
non-intervention--0001,50,3723,2069,373,3805,5256,2921,2919,1539,912,1737,1233,946,3434,1605,2567,8725,3190,9923,77
non-intervention--0001,51,3724,2069,373,3808,5256,2922,2920,1539,913,1738,1233,946,3434,1605,2569,8725,3192,9932,68
non-intervention--0001,52,3724,2069,374,3808,5256,2922,2921,1539,913,1738,1233,948,3435,1610,2570,8725,3193,9940,60
non-intervention--0001,53,3724,2069,374,3808,5256,2923,2921,1539,913,1740,1233,949,3436,1611,2570,8725,3193,9958,42
non-intervention--0001,54,3725,2069,374,3808,5256,2923,2921,1539,913,1741,1233,950,3438,1613,2571,8725,3193,9968,32
non-intervention--0001,55,3725,2069,374,3808,5256,2923,2922,1539,913,1741,1233,951,3439,1613,2571,8725,3193,9976,24
non-intervention--0001,56,3727,2069,375,3808,5256,2923,2922,1539,913,1741,1233,951,3439,1614,2571,8725,3193,9981,19
non-intervention--0001,57,3727,2069,375,3808,5257,2923,2923,1539,914,1741,1233,951,3440,1614,2571,8725,3193,9987,13
non-intervention--0001,58,3727,2069,375,3808,5257,2923,2924,1539,914,1741,1234,951,3442,1615,2571,8725,3193,9989,11
non-intervention--0001,59,3727,2069,375,3808,5257,2923,2924,1539,914,1741,1234,951,3442,1615,2571,8725,3193,9991,9
non-intervention--0001,60,3727,2069,375,3808,5257,2923,2924,1539,914,1741,1234,951,3442,1615,2571,8725,3193,9992,8
non-intervention--0001,61,3727,2069,375,3809,5257,2923,2925,1540,914,1741,1234,951,3442,1616,2571,8725,3193,9995,5
non-intervention--0001,62,3727,2069,375,3809,5257,2923,2925,1540,914,1741,1234,951,3442,1616,2571,8725,3193,9999,1
non-intervention--0001,63,3727,2069,375,3809,5257,2923,2925,1540,914,1741,1234,951,3442,1616,2571,8725,3193,9999,1
non-intervention--0001,64,3727,2069,375,3810,5257,2923,2925,1540,914,1741,1234,951,3443,1616,2571,8725,3193,10000,0
intervention--0001,1,191,31,3,47,285,90,81,86,32,3,56,5,100,10,115,1084,166,202,9798
intervention--0001,2,367,88,11,116,587,210,185,179,66,21,133,10,251,25,241,2264,320,456,9544
intervention--0001,3,519,151,20,193,907,334,283,242,104,42,201,19,401,47,356,3270,492,685,9315
intervention--0001,4,691,216,31,289,1209,470,394,319,144,78,257,34,589,71,475,4191,638,931,9069
intervention--0001,5,850,290,39,397,1477,608,498,376,178,119,310,46,767,98,591,4909,776,1204,8796
intervention--0001,6,1017,362,45,500,1745,745,597,438,218,168,361,62,949,120,697,5550,929,1457,8543
intervention--0001,7,1158,452,51,625,2036,879,706,494,255,209,411,81,1130,150,807,6097,1084,1683,8317
intervention--0001,8,1322,530,66,768,2286,1000,830,549,290,255,451,95,1303,178,915,6553,1244,1944,8056
intervention--0001,9,1476,619,75,899,2560,1127,928,609,323,316,504,124,1445,221,1017,6894,1389,2189,7811
intervention--0001,10,1627,708,86,1051,2817,1250,1031,663,355,377,545,142,1621,272,1118,7195,1527,2476,7524
intervention--0001,11,1753,792,98,1197,3052,1359,1155,730,394,434,595,166,1760,309,1224,7448,1653,2776,7224
intervention--0001,12,1889,884,114,1342,3255,1457,1252,775,420,505,637,190,1895,360,1325,7669,1777,3044,6956
intervention--0001,13,2013,955,125,1498,3455,1572,1350,840,452,568,679,228,2023,422,1423,7849,1880,3327,6673
intervention--0001,14,2124,1032,139,1656,3638,1676,1459,903,484,644,727,249,2156,489,1508,7985,1984,3612,6388
intervention--0001,15,2232,1101,147,1831,3826,1774,1541,943,514,711,761,280,2272,555,1594,8095,2072,3941,6059
intervention--0001,16,2346,1166,157,1979,3981,1879,1645,987,552,765,805,304,2383,614,1683,8203,2170,4191,5809
intervention--0001,17,2481,1241,166,2128,4111,1959,1748,1032,580,852,848,342,2472,670,1755,8285,2273,4520,5480
intervention--0001,18,2608,1304,182,2288,4235,2048,1836,1075,606,902,869,374,2563,723,1839,8361,2340,4817,5183
intervention--0001,19,2699,1362,190,2413,4362,2125,1911,1124,630,977,900,411,2648,776,1895,8414,2430,5118,4882
intervention--0001,20,2789,1418,199,2537,4472,2217,1995,1175,655,1029,946,444,2730,832,1952,8446,2500,5428,4572
intervention--0001,21,2862,1481,209,2666,4580,2282,2082,1216,674,1092,971,482,2796,885,2021,8493,2563,5714,4286
intervention--0001,22,2940,1526,219,2805,4647,2346,2169,1261,702,1149,1003,511,2870,942,2086,8533,2625,6002,3998
intervention--0001,23,3026,1574,232,2906,4731,2406,2228,1281,731,1198,1035,548,2931,1002,2134,8566,2688,6290,3710
intervention--0001,24,3101,1625,241,3015,4795,2462,2296,1308,746,1239,1057,581,2977,1046,2185,8597,2743,6542,3458
intervention--0001,25,3168,1664,253,3111,4845,2509,2353,1331,759,1279,1071,612,3030,1094,2223,8614,2803,6784,3216
intervention--0001,26,3232,1720,258,3169,4901,2566,2419,1356,779,1325,1089,644,3099,1139,2266,8631,2828,7044,2956
intervention--0001,27,3296,1755,270,3240,4959,2605,2468,1372,786,1379,1100,678,3140,1185,2305,8652,2865,7297,2703
intervention--0001,28,3343,1792,285,3320,5003,2645,2506,1399,800,1417,1116,704,3175,1225,2332,8667,2899,7561,2439
intervention--0001,29,3386,1829,292,3386,5040,2676,2556,1414,814,1459,1137,732,3203,1263,2356,8682,2938,7762,2238
intervention--0001,30,3432,1865,304,3441,5067,2703,2593,1428,827,1492,1144,756,3234,1306,2384,8692,2968,7960,2040
intervention--0001,31,3473,1892,314,3501,5088,2728,2639,1445,838,1525,1159,786,3267,1340,2406,8701,3000,8175,1825
intervention--0001,32,3504,1913,320,3548,5113,2757,2680,1458,845,1553,1165,804,3293,1368,2425,8703,3033,8366,1634
intervention--0001,33,3541,1933,327,3582,5141,2778,2708,1476,857,1579,1175,823,3315,1407,2444,8708,3059,8544,1456
intervention--0001,34,3568,1953,335,3615,5158,2802,2736,1490,868,1606,1188,832,3329,1430,2465,8712,3080,8729,1271
intervention--0001,35,3590,1978,342,3643,5169,2821,2770,1497,875,1629,1193,844,3347,1455,2482,8713,3096,8897,1103
intervention--0001,36,3614,1991,346,3666,5180,2831,2795,1500,879,1653,1200,859,3362,1473,2494,8716,3111,9027,973
intervention--0001,37,3636,2001,351,3698,5199,2843,2818,1507,887,1667,1206,874,3374,1490,2508,8717,3124,9144,856
intervention--0001,38,3654,2009,353,3713,5206,2857,2834,1515,892,1679,1213,888,3380,1513,2515,8719,3135,9246,754
intervention--0001,39,3671,2018,358,3738,5222,2869,2845,1522,895,1684,1216,895,3388,1533,2526,8721,3143,9350,650
intervention--0001,40,3682,2030,360,3748,5231,2881,2863,1524,899,1696,1218,908,3397,1544,2535,8722,3151,9438,562
intervention--0001,41,3693,2042,365,3760,5237,2893,2868,1527,904,1701,1220,916,3403,1559,2543,8723,3161,9529,471
intervention--0001,42,3700,2049,367,3769,5241,2900,2879,1531,905,1712,1223,921,3413,1572,2549,8723,3168,9608,392
intervention--0001,43,3709,2056,370,3781,5243,2910,2885,1532,906,1722,1226,926,3415,1579,2551,8723,3172,9667,333
intervention--0001,44,3713,2060,370,3788,5243,2914,2891,1535,909,1726,1228,931,3419,1585,2558,8723,3178,9728,272
intervention--0001,45,3715,2062,371,3792,5249,2917,2893,1537,910,1727,1231,937,3423,1591,2560,8724,3179,9779,221
intervention--0001,46,3720,2064,371,3797,5252,2918,2901,1537,910,1730,1232,942,3425,1596,2563,8724,3182,9816,184
intervention--0001,47,3720,2067,371,3803,5253,2919,2908,1538,911,1732,1233,942,3429,1598,2564,8725,3186,9859,141
